config,cores,GBMemory,seconds,cost,distance.mean,distance.sd,cluster,meanDistance,sdDistance,Method
13,2,2,5.388285,0.3239437,1.687268,0.0828513,2,1.705314,0.0874655,GAM
25,3,2,5.388285,0.4859155,1.691062,0.0830376,2,1.705314,0.0874655,GAM
37,4,2,5.388285,0.6478873,1.696358,0.0832977,2,1.705314,0.0874655,GAM
14,2,4,5.466359,0.5477292,1.707119,0.0912304,2,1.705314,0.0874655,GAM
26,3,4,5.466359,0.8215938,1.717692,0.0917955,2,1.705314,0.0874655,GAM
38,4,4,5.466359,1.0954584,1.732385,0.0925807,2,1.705314,0.0874655,GAM
25,3,2,19.97006,1.8009,2.876415,0.3252571,1,2.88092,0.3257665,GBM-BRT
37,4,2,19.97006,2.4012,2.885425,0.3262759,1,2.88092,0.3257665,GBM-BRT
60,5,22,19.99999,23.04599,3.282573,0.409721,1,3.282573,0.409721,RF
9,1,16,5.530293,0.9420301,1.817675,0.4006075,1,1.817675,0.4006075,MARS
