config,cores,GBMemory,seconds,cost,distance.mean,distance.sd,cluster,meanDistance,sdDistance,MaxAccuracy,Method
13,2,2,5.384477,0.3237148,5.395409,0.4527531,2,5.409142,0.4539055,0.714628403,GAM
25,3,2,5.384477,0.4855721,5.407539,0.4537711,2,5.409142,0.4539055,0.714628403,GAM
37,4,2,5.384477,0.6474295,5.424477,0.4551924,2,5.409142,0.4539055,0.714628403,GAM
9,1,16,2293.046,390.5974,2637.698,1363.646,1,2783.52,1406.859,0.806901434,GBM-BRT
6,1,10,2353.678,259.4224,2688.65,1360.9,1,2783.52,1406.859,0.806901434,GBM-BRT
7,1,12,2353.678,306.5901,2695.044,1364.136,1,2783.52,1406.859,0.806901434,GBM-BRT
8,1,14,2354.149,353.8286,2702.686,1367.871,1,2783.52,1406.859,0.806901434,GBM-BRT
5,1,8,2374.77,214.1567,2707.603,1357.266,1,2783.52,1406.859,0.806901434,GBM-BRT
10,1,18,2447.377,465.9316,2814.987,1412.561,1,2783.52,1406.859,0.806901434,GBM-BRT
2,1,4,2510.031,125.7525,2866.548,1439.86,1,2783.52,1406.859,0.806901434,GBM-BRT
3,1,5,2511.478,150.9901,2869.937,1441.589,1,2783.52,1406.859,0.806901434,GBM-BRT
4,1,6,2511.478,176.1551,2871.802,1442.526,1,2783.52,1406.859,0.806901434,GBM-BRT
11,1,20,2481.057,522.0641,2875.829,1459.48,1,2783.52,1406.859,0.806901434,GBM-BRT
12,1,22,2481.044,571.7813,2887.932,1465.611,1,2783.52,1406.859,0.806901434,GBM-BRT
133,12,2,49.13976,17.725695,54.01829,14.1582,1,56.58262,15.61828,0.857904644,RF
109,10,2,50.60735,15.212568,54.6157,14.21935,1,56.58262,15.61828,0.857904644,RF
145,13,2,49.1967,19.225085,54.79993,15.10134,1,56.58262,15.61828,0.857904644,RF
121,11,2,50.22933,16.60883,54.89189,15.24288,1,56.58262,15.61828,0.857904644,RF
157,14,2,48.98519,20.614928,55.21138,15.68684,1,56.58262,15.61828,0.857904644,RF
169,15,2,49.16795,22.169828,56.00085,15.53139,1,56.58262,15.61828,0.857904644,RF
97,9,2,52.3681,14.167666,56.02076,14.32204,1,56.58262,15.61828,0.857904644,RF
73,7,2,53.95521,11.353255,56.97567,14.79021,1,56.58262,15.61828,0.857904644,RF
181,16,2,49.78486,23.944527,57.51621,16.59635,1,56.58262,15.61828,0.857904644,RF
85,8,2,54.17168,13.027205,57.65143,15.32649,1,56.58262,15.61828,0.857904644,RF
61,6,2,55.49518,10.009111,58.29831,15.21475,1,56.58262,15.61828,0.857904644,RF
49,5,2,56.25919,8.455757,58.94111,15.83762,1,56.58262,15.61828,0.857904644,RF
193,17,2,50.89381,26.007752,60.63252,21.01023,1,56.58262,15.61828,0.857904644,RF
81,7,16,6.836961,8.152256,10.75961,1.763618,1,16.9161,4.340894,0.771872399,MARS
93,8,16,6.836961,9.316864,11.68653,1.91555,1,16.9161,4.340894,0.771872399,MARS
105,9,16,6.836961,10.481472,12.65523,2.074331,1,16.9161,4.340894,0.771872399,MARS
117,10,16,6.836961,11.64608,13.65683,2.238504,1,16.9161,4.340894,0.771872399,MARS
129,11,16,6.836961,12.810688,14.68458,2.406965,1,16.9161,4.340894,0.771872399,MARS
141,12,16,6.836961,13.975296,15.73338,2.578874,1,16.9161,4.340894,0.771872399,MARS
153,13,16,6.836961,15.139904,16.79927,2.753585,1,16.9161,4.340894,0.771872399,MARS
165,14,16,6.836961,16.304512,17.87921,2.930598,1,16.9161,4.340894,0.771872399,MARS
21,2,16,15.62448,5.322948,18.53887,8.115716,1,16.9161,4.340894,0.771872399,MARS
177,15,16,6.836961,17.46912,18.97078,3.10952,1,16.9161,4.340894,0.771872399,MARS
57,5,16,13.744239,11.705969,19.51761,6.828874,1,16.9161,4.340894,0.771872399,MARS
33,3,16,15.921746,8.13633,19.99556,8.507027,1,16.9161,4.340894,0.771872399,MARS
189,16,16,6.836961,18.633728,20.0721,3.290038,1,16.9161,4.340894,0.771872399,MARS
69,6,16,13.744239,14.047162,21.24629,7.433711,1,16.9161,4.340894,0.771872399,MARS
45,4,16,15.921746,10.848441,21.54564,9.166504,1,16.9161,4.340894,0.771872399,MARS
