"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","taxon","trainingExamples","spatialResolution","learningRate","treeComplexity","nTrees","GBMemory","numPredictors","cells"
"1",194.718999999997,166.001999999993,25.9400000000023,2.73200000000361,0.716276641264073,4,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"2",216.807000000001,188.089999999997,26.3540000000066,2.31599999999162,0.731434262126226,4,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"3",341.659,308.877000000008,30.4779999999882,2.20600000000559,0.727145938757571,4,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"4",447.375,400.882,42.705,3.75699999999995,0.717731322314537,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"5",283.319,243.402,35.992,3.89799999999997,0.722884702289808,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"6",549.485,502.169,43.501,3.77800000000002,0.73029375310948,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"7",310.695,273.698,33.4110000000001,3.55600000000004,0.719224868664939,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"8",4470.879,4423.345,43.4610000000002,3.95599999999922,0.730646440458064,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"9",4254.235,4208.402,41.753999999999,4.02300000000105,0.72450124873476,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"10",4719.932,4672.541,43.5020000000004,3.75900000000001,0.727800426776261,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"11",461.347,418.027,39.559,3.73399999999998,0.717874748700551,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"12",428.195,385.44,39.008,3.71900000000005,0.725112074122925,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"13",383.681,343.502,36.3689999999999,3.72600000000011,0.730548634758167,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"14",4562.616,4516.463,42.2550000000001,3.7440000000006,0.71669602855886,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"15",514.893,468.152,43.009,3.70299999999997,0.7238714721896,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"16",364.776,323.666,37.276,3.80399999999997,0.726975201821648,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"17",467.978,421.954,42.259,3.7349999999999,0.720959045450229,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"18",4316.209,4270.741,41.7809999999999,3.52299999999923,0.716565882567954,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"19",4300.925,4254.545,42.7369999999992,3.52399999999943,0.716179457075349,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"20",4403.516,4357.888,42.0720000000001,3.48699999999917,0.730383364925629,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"21",513.188,468.853,40.7450000000001,3.56299999999999,0.726942759975718,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"22",714.445,661.956,48.902,3.56000000000006,0.734129788931508,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"23",522.247,476.129,42.5509999999999,3.53200000000015,0.733848102016934,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"24",381.19,340.835,36.571,3.75700000000001,0.731535932771646,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"25",578.414,529.568,45.0219999999999,3.70100000000002,0.737868994382498,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"26",591.665,542.878,45.1429999999999,3.6160000000001,0.719530613461141,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"27",622.656,573.38,45.7030000000001,3.54300000000001,0.730918150424426,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"28",408.209,366.651,38.0260000000001,3.50399999999991,0.720248774515245,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"29",458.403,413.86,39.801,4.70400000000001,0.732960451805771,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"30",405.941,364.219,37.9830000000001,3.71000000000004,0.723391272390405,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"31",454.952,410.9,40.2369999999999,3.77200000000016,0.717550248058106,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"32",4422.668,4375.47,43.3600000000006,3.72199999999975,0.719235282999793,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"33",4538.184,4490.543,43.7150000000001,3.78199999999924,0.717791485244315,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"34",434.118,393.643,38.597,1.84999999999997,0.733348590359739,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"35",638.237,587.702,46.7470000000001,3.75900000000001,0.71838456212091,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"36",389.774,348.157,38.0170000000001,3.57199999999989,0.725816030217681,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"37",639.089,589.279,46.019,3.74299999999994,0.717588185005511,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"38",364.703,325.447,35.684,3.54300000000001,0.727978572252285,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"39",540.396,493.016,43.75,3.51099999999997,0.73603343769001,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"40",369.146,331.956,33.4839999999999,3.67599999999993,0.718611558856307,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"41",468.646,420.631,44.505,3.483,0.718088391722824,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"42",577.74,528.89,45.321,3.50099999999998,0.730312665606783,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"43",462.933,417.89,40.689,4.32599999999996,0.731218813098217,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"44",397.33,354.827,38.713,3.70000000000005,0.725582315773941,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"45",409.495,370.418,35.481,3.55799999999999,0.733505271858147,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"46",4567.389,4518.586,45.0109999999995,3.69100000000071,0.723402362465416,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"47",490.388,445.41,41.245,3.70600000000002,0.732040204903699,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"48",418.171,375.392,38.937,3.80099999999999,0.729963891756856,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"49",460.805,417.278,39.788,3.71000000000004,0.727735934477508,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"50",556.991,509.226,44.136,3.59899999999993,0.731575465032564,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"51",4859.169,4810.495,44.8029999999999,3.72800000000007,0.720274483667341,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"52",422.865,378.798,40.036,3.97899999999998,0.719189543794934,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"53",458.382,410.297,43.691,4.27800000000002,0.727629274226577,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"54",550.161,497.397,48.758,3.94000000000005,0.727526303565228,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"55",5273.912,5220.166,49.5129999999999,4.16700000000037,0.721806051564381,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"56",475.372,430.654,40.971,3.71100000000001,0.732441122598041,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"57",607.209,556.228,46.665,4.28500000000008,0.735867169196953,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"58",495.631,444.401,45.46,5.73599999999999,0.727943528897753,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"59",617.214,563.388,48.4559999999999,5.33200000000011,0.71999923714868,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"60",621.544,568.326,48.673,4.45600000000013,0.725219457428719,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"61",4401.253,4352.662,44.4560000000001,4.07199999999921,0.717824256709215,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"62",5284.913,5236.296,44.5109999999986,3.95600000000013,0.72577905059872,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"63",392.09,352.802,35.719,3.524,0.747340787787402,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"64",513.42,466.685,42.9649999999999,3.73400000000004,0.731452211363925,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"65",504.145,458.125,42.4750000000001,3.51299999999992,0.739825496774584,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"66",4150.735,4106.135,40.9949999999999,3.54100000000017,0.728377838557615,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"67",4502.087,4456.27,41.9979999999996,3.75699999999961,0.721953417078663,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"68",531.146,485.816,41.7860000000001,3.51400000000001,0.722882857969451,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"69",365.183,324.965,36.675,3.51600000000002,0.731842431745094,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"70",336.682,297.638,35.46,3.55499999999995,0.715522970856289,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"71",535.883,486.489,45.7430000000002,3.53699999999981,0.717919210544269,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"72",4504.202,4456.573,43.96,3.51499999999942,0.722302003302937,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"73",4294.405,4246.341,44.1040000000012,3.90300000000025,0.721503238441103,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"74",4241.005,4194.886,42.5519999999997,3.503999999999,0.733547535328975,1,"Picea",11000,0.5,1e-04,1,NA,3.75,5,35000
"75",431.651,389.816,38.2790000000001,3.52799999999996,0.731802871847374,1,"Picea",1000,0.5,1e-04,1,NA,3.75,5,35000
"76",1088.634,1040.846,44.0629999999999,3.67100000000005,0.716930474983143,1,"Picea",2500,0.5,1e-04,1,NA,3.75,5,35000
"77",995.669,948.92,43.056,3.66100000000006,0.722840065557234,1,"Picea",2500,0.5,1e-04,1,NA,3.75,5,35000
"78",1109.402,1061.365,44.3449999999998,3.65900000000011,0.721288047076305,1,"Picea",2500,0.5,1e-04,1,NA,3.75,5,35000
"79",1636.941,1574.002,58.4690000000001,4.43299999999999,0.731649704544859,1,"Picea",2500,0.5,1e-04,2,NA,3.75,5,35000
