"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"1",10,5.39599999999973,0.00700000000051659,3.56099999999969,1.80599999999959,0.70016297043363,0.5,"Picea",5,100,35000,8,16,10,0.05,1
"2",315,5.10000000003492,0.0100000000093132,3.17999999999302,1.89000000001397,0.72692501664446,0.5,"Picea",5,500,35000,8,16,315,0.05,2
"3",322,5.10000000003492,0.0200000000186265,3.20000000001164,1.86999999999534,0.726761159538455,0.5,"Picea",5,1000,35000,8,16,322,0.05,3
"4",34,4.88700000000063,0.00600000000031287,2.96900000000005,1.89300000000003,0.715395391961789,0.5,"Picea",5,100,35000,1,4,34,0.1,4
"5",338,5.13000000000466,0.0100000000093132,3.21999999997206,1.86999999999534,0.736661165255571,0.5,"Picea",5,2000,35000,8,16,338,0.05,5
"6",3816,39.011,28.217,8.69899999999996,2.06500000000005,0.764717092972011,0.5,"Picea",5,500,35000,1,4,3816,0.0476190476190476,6
"7",71,5.61000000000058,0.0619999999998981,3.71799999999985,1.79400000000078,0.731594496331613,0.5,"Picea",5,5000,35000,8,16,71,0.05,7
"8",67,4.88400000000001,0.0150000000003274,2.93499999999949,1.91300000000047,0.74292096466801,0.5,"Picea",5,1000,35000,1,4,67,0.0454545454545455,8
"9",82,4.9409999999998,0.0249999999996362,2.94400000000041,1.94899999999961,0.732274466959564,0.5,"Picea",5,2000,35000,1,4,82,0.1,9
"10",99,5.38400000000001,0.0590000000001965,3.14999999999964,2.14400000000023,0.734611763435907,0.5,"Picea",5,5000,35000,1,4,99,0.1,10
"11",105,5.5,0.100000000000364,3.47400000000016,1.88199999999961,0.745237362845558,0.5,"Picea",5,10000,35000,8,16,105,0.025,11
"12",424,7.28100000000006,0.150999999999954,4.74299999999994,2.29500000000007,0.733655524619226,0.5,"Picea",5,10000,35000,1,4,424,0.02,12
"13",125,5.6869999999999,0.216999999999643,3.52900000000045,1.88000000000011,0.740962879551157,0.5,"Picea",5,20000,35000,8,16,125,0.025,13
"14",136,5.28800000000047,0.230999999999767,3.07399999999961,1.91000000000076,0.733121682521274,0.5,"Picea",5,20000,35000,1,4,136,0.02,14
"15",148,5.84799999999996,0.329999999999927,3.54800000000068,1.88899999999921,0.728076006522012,0.5,"Picea",5,30000,35000,8,16,148,0.0333333333333333,15
"16",1459,4.86299999999994,0.301000000000045,2.75099999999998,1.73500000000001,0.737480359251151,0.5,"Picea",5,30000,35000,1,4,1459,0.02,16
"17",240,8.45699999999999,0.800000000000068,4.952,2.59199999999998,0.7378974915443,0.5,"Picea",5,40000,35000,8,16,240,0.0333333333333333,17
"18",174,5.66700000000037,0.634000000000015,3.03499999999985,1.90800000000036,0.736452007654738,0.5,"Picea",5,40000,35000,1,4,174,0.02,18
"19",185,6.14899999999943,0.636999999999716,3.52199999999993,1.89999999999964,0.74136386941265,0.5,"Picea",5,50000,35000,8,16,185,0.0344827586206897,19
"20",198,5.74599999999919,0.61200000000008,2.99200000000019,2.05499999999938,0.739200925313946,0.5,"Picea",5,50000,35000,1,4,198,0.02,20
"21",888,8.14300000000003,0.115999999999985,6.01899999999978,1.94900000000007,0.742107345203926,0.1,"Picea",5,10000,875000,1,4,888,0.025,21
"22",479,9.20600000000013,0.312999999999874,6.59799999999996,2.21500000000015,0.731316082979564,0.1,"Picea",5,20000,875000,1,4,479,0.025,22
"23",1185,7.02799999999999,0.421999999999997,4.76500000000001,1.75299999999999,0.739619869227652,0.1,"Picea",5,30000,875000,1,4,1185,0.025,23
"24",1196,7.30500000000001,0.401999999999987,4.93000000000001,1.745,0.749385291202653,0.1,"Picea",5,40000,875000,1,4,1196,0.025,24
