"","oid","typ","cid","tna","rnk","tid","mna","mra","mid","oei","eag","lag","rid","dcr","dmd","lng","lat","oli"
"1:1",212226,"occ",21337,"Syncerus caffer",3,149719,"Syncerus caffer",3,149719,"Late Pleistocene",0.126,0.0117,"4652;4652","1995-06-21 00:00:00","2002-07-10 22:49:32",35.950001,3.367,NA
"1:2",212321,"occ",21377,"Canis mesomelas",3,232943,"Canis mesomelas",3,232943,"Pliocene",5.333,0.781,"4469;4469","1995-06-22 00:00:00","2004-05-03 09:09:23",36.317001,3.975,"Calabrian"
"1:3",212356,"occ",21399,"Canis mesomelas",3,232943,"Canis mesomelas",3,232943,"Pliocene",5.333,0.781,"4488;4488","1995-06-22 00:00:00","2004-05-03 10:20:38",36.373001,4.067,"Calabrian"
"1:4",212864,"occ",21686,"Sylvilagus floridanus",3,51912,"Sylvilagus floridanus",3,51912,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:5",212865,"occ",21686,"Heteromys anomalus",3,46952,"Heteromys",5,46952,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:6",212866,"occ",21686,"Sigmodon alstoni",3,41876,"Sigmodon",5,41876,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:7",212867,"occ",21686,"Tayassu tajacu",3,52101,"Tayassu tajacu",3,52101,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:8",212868,"occ",21686,"Felis pardalis",3,46525,"Leopardus pardalis",3,47513,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:9",212869,"occ",21686,"Felis yagouaroundi",3,46533,"Puma yagouaroundi",3,224063,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:10",212870,"occ",21686,"Conepatus semistriatus",3,232922,"Conepatus semistriatus",3,232922,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
"1:11",212871,"occ",21686,"Eira barbara",3,232924,"Eira barbara",3,232924,"Holocene",0.0117,0,"4785;4785","1995-10-04 00:00:00","2002-07-10 22:49:32",-67.583298,8.5667,NA
