"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory","TotalRate","config"
"45000",5,9000,5.66315157385436,6.96567643584087e-05,0.71440551309688,1,2,1.23e-05,1
"450001",5,9000,5.73956106062375,8.55194598032939e-05,0.714177972852234,1,4,1.49e-05,2
"450002",5,9000,5.46957015117521,8.86070364490385e-05,0.717200190175617,1,5,1.62e-05,3
"450003",5,9000,5.46957015117521,9.57174776455663e-05,0.717200190175617,1,6,1.75e-05,4
"450004",5,9000,5.46957015117521,0.000109938360038622,0.717200190175617,1,8,2.01e-05,5
"450005",5,9000,5.46957015117521,0.000124159242431677,0.717200190175617,1,10,2.27e-05,6
"450006",5,9000,5.46957015117521,0.000138380124824733,0.717200190175617,1,12,2.53e-05,7
"450007",5,9000,5.46957015117521,0.000152601007217788,0.717200190175617,1,14,2.79e-05,8
"450008",5,9000,5.46957015117521,0.000166821889610844,0.717200190175617,1,16,3.05e-05,9
"450009",5,9000,5.46957015117521,0.0001810427720039,0.717200190175617,1,18,3.31e-05,10
"4500010",5,9000,5.46957015117521,0.000195263654396955,0.717200190175617,1,20,3.57e-05,11
"4500011",5,9000,5.46957015117521,0.000209484536790011,0.717200190175617,1,22,3.83e-05,12
"4500012",5,9000,5.54925444263879,0.000122083597738053,0.707539651748627,2,2,2.2e-05,13
"4500013",5,9000,5.55484568997595,0.000136649203973408,0.711373025400391,2,4,2.46e-05,14
"4500014",5,9000,5.29354385454955,0.000137102785832833,0.714395242723773,2,5,2.59e-05,15
"4500015",5,9000,5.29354385454955,0.000143984392843748,0.714395242723773,2,6,2.72e-05,16
"4500016",5,9000,5.29354385454955,0.000157747606865577,0.714395242723773,2,8,2.98e-05,17
"4500017",5,9000,5.29354385454955,0.000171510820887405,0.714395242723773,2,10,3.24e-05,18
"4500018",5,9000,5.29354385454955,0.000185274034909234,0.714395242723773,2,12,3.5e-05,19
"4500019",5,9000,5.29354385454955,0.000199037248931063,0.714395242723773,2,14,3.76e-05,20
