"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory","TotalRate","config"
"749",4,150,19.9543265486735,0.599827056053127,0.706056515975953,1,2,0.03006,1
"589",4,118,19.9311995434877,0.998553097128733,0.701078664509914,1,4,0.0501,2
"5891",4,118,19.9686122902648,1.20051297089072,0.701124920998572,1,5,0.06012,3
"5892",4,118,19.9686122902648,1.40059846603917,0.701124920998572,1,6,0.07014,4
"569",4,114,19.9814212228197,1.80192456587388,0.710529189433029,1,8,0.09018,5
"544",4,109,19.9278213110576,2.19644446490477,0.70127900984069,1,10,0.11022,6
"5441",4,109,19.9278213110576,2.59579800397837,0.70127900984069,1,12,0.13026,7
"5442",4,109,19.9286126260483,2.99527047769506,0.701625349062061,1,14,0.1503,8
"489",4,98,19.9284141273832,3.39460606245845,0.700127576541243,1,16,0.17034,9
"479",4,96,19.9489226667505,3.79787589729596,0.700381518255415,1,18,0.19038,10
"4791",4,96,19.9671528763316,4.20148830823769,0.700387923313986,1,20,0.21042,11
"4792",4,96,19.9676725772891,4.60174982216204,0.700388795021116,1,22,0.23046,12
"754",4,151,19.9386882593939,1.19871393815476,0.704556625739757,2,2,0.06012,13
"7541",4,151,19.9758046288371,2.00157562380948,0.704469213562183,2,4,0.1002,14
"7491",4,150,19.946029247093,2.39831055667046,0.704414195370055,2,5,0.12024,15
"7492",4,150,19.946029247093,2.79802898278221,0.704414195370055,2,6,0.14028,16
"729",4,146,19.9950144544358,3.60630080700203,0.7138180038929,2,8,0.18036,17
"704",4,141,19.9882380582052,4.40620719755075,0.704566397338518,2,10,0.22044,18
"7041",4,141,19.9882380582052,5.20733577892361,0.704566397338518,2,12,0.26052,19
"7042",4,141,19.9889069085059,6.00866541669688,0.704912647073066,2,14,0.3006,20
"639",4,128,19.9466654757627,6.79542999428284,0.703246041077311,2,16,0.34068,21
"629",4,126,19.9870921331545,7.6102852006199,0.703494318561963,2,18,0.38076,22
"624",4,125,19.9284554686779,8.38669119943842,0.703416943794396,2,20,0.42084,23
"6241",4,125,19.9289751415601,9.18566322224789,0.703418776511353,2,22,0.46092,24
"34",4,7,19.9184918575541,1.79624959571423,0.691872798412497,3,2,0.09018,25
"7291",4,146,19.9530103970659,2.99893746267901,0.703992186981206,3,4,0.1503,26
"7292",4,146,19.993437168807,3.60601632776603,0.704023111408385,3,5,0.18036,27
"7293",4,146,19.993437168807,4.20701904906037,0.704023111408385,3,6,0.21042,28
"7043",4,141,19.9669247228934,5.40185181453158,0.713343093795396,3,8,0.27054,29
"679",4,136,19.9555426314099,6.59849972650199,0.704091608024244,3,10,0.33066,30
"6791",4,136,19.9555426314099,7.79822694950235,0.704091608024244,3,12,0.39078,31
"6792",4,136,19.9562297386605,8.99826398916204,0.704437871741108,3,14,0.4509,32
"619",4,124,19.9754214368996,10.2078398626844,0.702855020456907,3,16,0.51102,33
"604",4,121,19.9357732334612,11.386117524559,0.703019510050447,3,18,0.57114,34
"6041",4,121,19.9539914265074,12.5961566278971,0.703025918347736,3,20,0.63126,35
"6042",4,121,19.9545116290307,13.7961502500792,0.703027766867731,3,22,0.69138,36
"341",4,7,19.9184918575541,2.3949994609523,0.691872798412497,4,2,0.12024,37
"7294",4,146,19.9530103970659,3.99858328357201,0.703992186981206,4,4,0.2004,38
"7295",4,146,19.993437168807,4.80802177035471,0.704023111408385,4,5,0.24048,39
"7296",4,146,19.993437168807,5.60935873208049,0.704023111408385,4,6,0.28056,40
"7044",4,141,19.9669247228934,7.20246908604211,0.713343093795396,4,8,0.36072,41
"6793",4,136,19.9555426314099,8.79799963533598,0.704091608024244,4,10,0.44088,42
"6794",4,136,19.9555426314099,10.3976359326698,0.704091608024244,4,12,0.52104,43
