"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"545",5,109,21.9436347416237,0.65962566033321,0.704938414783387,1,2
"9590",5,1918,21.9897794569618,1.10168795079378,0.744742693157191,1,4
"15000",5,3000,6.48402660659949,0.389819679588761,0.756813951111991,1,5
"150001",5,3000,6.48402660659949,0.454789626186888,0.756813951111991,1,6
"150002",5,3000,6.61783358399435,0.59679623260461,0.757065274810473,1,8
"150003",5,3000,7.3435668483198,0.809407938021809,0.757040062451217,1,10
"150004",5,3000,7.3435668483198,0.956573017662138,0.757040062451217,1,12
"150005",5,3000,7.21663932307948,1.08466089025885,0.757400717409373,1,14
"5000",5,1000,20.8712687779449,3.55521192363513,0.757788970776756,1,16
"150006",5,3000,7.07743079230174,1.34740127423841,0.770617448820621,1,18
"150007",5,3000,7.18937485768176,1.5127882575534,0.770715920502438,1,20
"150008",5,3000,7.18795250481921,1.65653553426063,0.77075868718254,1,22
"570",5,114,21.9602910077462,1.3202526953857,0.7029598229092,2,2
"40000",5,8000,13.8318433734775,1.38595070602244,0.75828113535282,2,4
"400001",5,8000,16.6817685337804,2.00581584850175,0.768100718801425,2,5
"400002",5,8000,16.6817685337804,2.34011848991871,0.768100718801425,2,6
"400003",5,8000,17.0132633852587,3.06851218416526,0.768351128364803,2,8
"400004",5,8000,18.8789934639471,4.1616853191925,0.768325916005547,2,10
"400005",5,8000,18.8789934639471,4.9183553772275,0.768325916005547,2,12
"400006",5,8000,18.5294324688287,5.56994740012991,0.768674546846303,2,14
"5530",5,1106,21.9925150244281,7.49241001852216,0.756973094434227,2,16
"400007",5,8000,18.171700589732,6.91905671654635,0.779448954558163,2,18
"400008",5,8000,18.458885966851,7.76823757028959,0.77954742623998,2,20
"400009",5,8000,18.4552340430309,8.50638647511382,0.779590192920082,2,22
"765",5,153,21.9704367196246,1.98129398337575,0.706561383322971,3,2
"4000010",5,8000,12.4106033450547,1.86531368276172,0.763213384493373,3,4
"4000011",5,8000,15.0884850110617,2.72135915659508,0.773011398501058,3,5
"4000012",5,8000,15.0884850110617,3.1749190160276,0.773011398501058,3,6
"4000013",5,8000,16.304421104722,4.41099808567148,0.773027706611793,3,8
"4000014",5,8000,18.54675834713,6.132671115062,0.772852601092607,3,10
"4000015",5,8000,18.54675834713,7.24770222689145,0.772852601092607,3,12
"4000016",5,8000,18.0121177251496,8.12166388226995,0.773201231933363,3,14
"5770",5,1154,21.9981452603633,11.2414921909509,0.744008299901155,3,16
"4000017",5,8000,17.9202075131549,10.2349473190633,0.771421482738889,3,18
"4000018",5,8000,18.203418296169,11.4910898336397,0.771519954420705,3,20
"4000019",5,8000,18.1998169143195,12.5829894182222,0.77156671697032,3,22
"7651",5,153,21.9704367196246,2.64172531116767,0.706561383322971,4,2
"4000020",5,8000,12.4106033450547,2.48708491034896,0.763213384493373,4,4
"4000021",5,8000,15.0884850110617,3.62847887546011,0.773011398501058,4,5
"4000022",5,8000,15.0884850110617,4.23322535470346,0.773011398501058,4,6
"4000023",5,8000,16.304421104722,5.8813307808953,0.773027706611793,4,8
"4000024",5,8000,18.54675834713,8.17689482008266,0.772852601092607,4,10
"4000025",5,8000,18.54675834713,9.6636029691886,0.772852601092607,4,12
"4000026",5,8000,18.0121177251496,10.8288851763599,0.773201231933363,4,14
"57701",5,1154,21.9981452603633,14.9886562546011,0.744008299901155,4,16
"4000027",5,8000,17.9202075131549,13.6465964254177,0.771421482738889,4,18
"4000028",5,8000,18.203418296169,15.3214531115196,0.771519954420705,4,20
"4000029",5,8000,18.1998169143195,16.7773192242963,0.77156671697032,4,22
"845",5,169,21.9369667760664,3.29712610644278,0.718986675968389,5,2
"770",5,154,21.9925323172643,5.50912934547471,0.705260635285568,5,4
"680",5,136,21.9394859409575,6.59500947385181,0.704369606750488,5,5
"6801",5,136,21.9394859409575,7.69417771949378,0.704369606750488,5,6
"580",5,116,21.9675140358649,9.90515207877149,0.702720313096374,5,8
"565",5,113,21.9959576507585,12.121972261333,0.702288286179068,5,10
"5651",5,113,21.9959576507585,14.325967217939,0.702288286179068,5,12
"595",5,119,21.9256696319552,16.4771407284143,0.70314736954833,5,14
