Model Algorithms,NameFixed,Tier
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Bioclim,bioclim,1
Maxent,maxent,2
GAM,gam,2
Garp,garp,2
pca,pca,1
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
GLM,glm,1
Maxent,maxent,2
GAM,gam,2
Logistic regression,logistic regression,1
Maxent,maxent,2
Maxent,maxent,2
GAM,gam,2
Maxent,maxent,2
pca,pca,1
Multivariate ordination,multivariate ordination,2
ENFA,enfa,0
Maxent,maxent,2
Maxent,maxent,2
Jacobs index,jacobs index,0
habitat suitability,habitat suitability,0
glm,glm,1
brt,brt,2
Range Bagging,range bagging,0
Maxent,maxent,2
Regression,regression,1
brt,brt,2
habitat suitability,habitat suitability,0
Maxent,maxent,2
maxent,maxent,2
Maxent,maxent,2
habitat suitability,habitat suitability,0
GARP,garp,2
GAM,gam,2
Maxent,maxent,2
GLM,glm,1
Maxent,maxent,2
Bioclim,bioclim,1
Logistic Regression,logistic regression,1
Maxent,maxent,2
Maxent,maxent,2
brt,brt,2
pca,pca,1
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
GLM,glm,1
glm,glm,1
Maxent,maxent,2
glmm,glmm,1
Bioclim,bioclim,1
glmm,glmm,1
DOMAIN,domain,1
Maxent,maxent,2
Maxent,maxent,2
GLM,glm,1
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Gaussian density,gaussian density,3
Maxent,maxent,2
maxent,maxent,2
Maxent,maxent,2
Logistic Regression,logistic regression,1
maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
maxent,maxent,2
Maxent,maxent,2
Unknown,unknown,0
Linear discriminant analysis,linear discriminant analysis,2
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
Maxent,maxent,2
GARP,garp,2
GarP,garp,2
glm,glm,1
Maxent,maxent,2
glm,glm,1
maxent,maxent,2
maxent,maxent,2
maxent,maxent,2
GARP,garp,2
Maxent,maxent,2
brt,brt,2
SVM,svm,2
Bioclim,bioclim,1
Maxent,maxent,2
brt,brt,2
Logistic Regression,logistic regression,1
Maxent,maxent,2
Maxent,maxent,2
 MultiModel Framework,multimodel framework,0
 enfa,enfa,0
 Maxent,maxent,2
brt,brt,2
brt,brt,2
 enfa,enfa,0
brt,brt,2
 GLM,glm,1
 GLM,glm,1
 Generalized intersection proceedure,generalized intersection proceedure,0
 weighted regression,weighted regression,0
habitat suitability,habitat suitability,0
brt,brt,2
 Niche Breadth,niche breadth,0
 Mahalanobis Distance,environmental distance,0
 Maxent,maxent,2
 GAM,gam,2
brt,brt,2
 Climate Space Model,climate space model,0
 GLM,glm,1
 GAM,gam,2
 parzen density estimator,parzen density estimator,0
 biomod,biomod,0
 Alpha-Hull,alpha-hull,0
glm,glm,1
 SVM,svm,2
 Maxent,maxent,2
 Maxent,maxent,2
 random forest,random forest,2
 domain,domain,1
 euclidean distance,environmental distance,0
 GAM,gam,2
 linear discriminant analysis,linear discriminant analysis,2
brt,brt,2
 mahalanobis distance,environmental distance,0
 Niche Overlap,niche overlap,0
brt,brt,2
 Envelope Score,envelope score,1
 Maxent,maxent,2
 MARS,mars,2
pca,pca,1
 GAM,gam,2
 GARP,garp,2
 random forest,random forest,2
 GARP,garp,2
 maxent,maxent,2
 gower distance,environmental distance,0
 garp,garp,2
 maxent,maxent,2
 Environmental Distance,environmental distance,0
 Random Forest,random forest,2
 CTA,cta,0
 K-means clustering,k-means clustering,0
 CTA,cta,0
 Bioclim,bioclim,1
ann,ann,2
 garp,garp,2
 mahalanobis distance,mahalanobis distance,0
 glm,glm,1
 gam,gam,2
 garp,garp,2
 maxent,maxent,2
linear discriminant analysis,linear discriminant analysis,2
 mars,mars,2
brt,brt,2
 ann,ann,2
 random forest,random forest,2
 logistic regression,logistic regression,1
 random forest,random forest,2
 ANN,ann,2
brt,brt,2
 random forest,random forest,2
linear discriminant analysis,linear discriminant analysis,2
 MARS,mars,2
 maxent,maxent,2
 PCA,pca,1
 k-nearest neighbor,k-nearest neighbor,0
 k-nearest neighbor,k-nearest neighbor,0
 self-organizing map,self-organizing map,2
 auto encoder,auto encoder,0
 radial basis neural network,ann,2
 naive bayes classification,naive bayes classification,2
svm,svm,2
glm,glm,1
Random Forest,random forest,2
linear discriminant analysis,linear discriminant analysis,2
 ANN,ann,2
brt,brt,2
 Bioclim,bioclim,1
maxent,maxent,2
 Niche Mosaic,niche mosaic,0
 mahalanobis distance,mahalanobis distance,0
 glm,glm,1
 gam,gam,2
 garp,garp,2
 maxent,maxent,2
 linear discriminant analysis,linear discriminant analysis,1
 mars,mars,2
brt,brt,2
 ann,ann,2
 random forest,random forest,2
gam,gam,2
