siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,chronologyType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
15/1,55.091667,-75.25,244.0,1,0.0,,,,,,,0.1610305958132045,1.0,621.0,20,29,1,pollen surface sample,Modern,15-1,1
15/2,55.833333,-75.016667,305.0,2,0.0,,,,,,,0.5176876617773942,3.0,579.5,18,28,2,pollen surface sample,Modern,15-2,2
17/3,55.116667,-75.95,255.0,6,0.0,,,,,,,0.3418803418803419,2.0,585.0,19,26,6,pollen surface sample,Modern,17-3,6
Three Pines Bog,47.0,-80.116667,294.0,7,1.0,,-26.0,,,Radiocarbon years BP,1,2.386117136659436,11.0,461.0,20,26,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,10.0,,10.0,,,Radiocarbon years BP,1,1.5113350125944585,6.0,397.0,18,22,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,20.0,,50.0,,,Radiocarbon years BP,1,0.7894736842105263,3.0,380.0,20,25,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,30.0,,90.0,,,Radiocarbon years BP,1,1.1135857461024499,5.0,449.0,22,27,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,40.0,,222.0,,,Radiocarbon years BP,1,1.6203703703703702,7.0,432.0,20,28,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,50.0,,447.0,,,Radiocarbon years BP,1,2.0460358056265986,8.0,391.0,21,26,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,60.0,,672.0,,,Radiocarbon years BP,1,1.8789144050104383,9.0,479.0,19,25,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,70.0,,897.0,,,Radiocarbon years BP,1,2.5380710659898478,10.0,394.0,20,24,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,80.0,,1122.0,,,Radiocarbon years BP,1,2.3060796645702304,11.0,477.0,20,26,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,90.0,,1347.0,,,Radiocarbon years BP,1,2.5380710659898478,10.0,394.0,21,25,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,100.0,,1572.0,,,Radiocarbon years BP,1,3.0172413793103448,14.0,464.0,20,24,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,110.0,,1797.0,,,Radiocarbon years BP,1,2.4456521739130435,9.0,368.0,22,24,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,120.0,,2022.0,,,Radiocarbon years BP,1,1.2254901960784315,5.0,408.0,15,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,130.0,,2247.0,,,Radiocarbon years BP,1,0.6864988558352403,3.0,437.0,18,23,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,140.0,,2472.0,,,Radiocarbon years BP,1,0.547945205479452,2.0,365.0,17,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,150.0,,2697.0,,,Radiocarbon years BP,1,2.8871391076115485,11.0,381.0,25,29,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,160.0,,2921.0,,,Radiocarbon years BP,1,2.1686746987951806,9.0,415.0,16,22,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,170.0,,3146.0,,,Radiocarbon years BP,1,3.5164835164835164,16.0,455.0,23,28,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,180.0,,3371.0,,,Radiocarbon years BP,1,2.211302211302211,9.0,407.0,17,22,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,190.0,,3575.0,,,Radiocarbon years BP,1,1.3605442176870748,6.0,441.0,15,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,200.0,,3717.0,,,Radiocarbon years BP,1,1.694915254237288,7.0,413.0,21,24,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,210.0,,3859.0,,,Radiocarbon years BP,1,1.2195121951219512,5.0,410.0,19,22,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,220.0,,4001.0,,,Radiocarbon years BP,1,1.4962593516209477,6.0,401.0,18,23,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,230.0,,4143.0,,,Radiocarbon years BP,1,0.2808988764044944,1.0,356.0,13,15,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,240.0,,4285.0,,,Radiocarbon years BP,1,0.8403361344537815,3.0,357.0,15,19,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,250.0,,4427.0,,,Radiocarbon years BP,1,0.84985835694051,3.0,353.0,21,26,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,260.0,,4569.0,,,Radiocarbon years BP,1,0.47393364928909953,2.0,422.0,17,21,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,270.0,,4711.0,,,Radiocarbon years BP,1,0.8287292817679558,3.0,362.0,22,27,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,280.0,,4853.0,,,Radiocarbon years BP,1,0.8982035928143712,3.0,334.0,15,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,290.0,,4995.0,,,Radiocarbon years BP,1,1.41643059490085,5.0,353.0,17,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,300.0,,5137.0,,,Radiocarbon years BP,1,0.7246376811594203,3.0,414.0,18,22,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,310.0,,5279.0,,,Radiocarbon years BP,1,0.5037783375314862,2.0,397.0,17,21,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,320.0,,5421.0,,,Radiocarbon years BP,1,1.4184397163120568,6.0,423.0,15,19,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,325.0,,5492.0,,,Radiocarbon years BP,1,0.7159904534606205,3.0,419.0,11,15,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,340.0,,5705.0,,,Radiocarbon years BP,1,0.7425742574257426,3.0,404.0,13,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,350.0,,5846.0,,,Radiocarbon years BP,1,0.7246376811594203,3.0,414.0,11,14,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,360.0,,5988.0,,,Radiocarbon years BP,1,0.9029345372460496,4.0,443.0,16,21,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,370.0,,6130.0,,,Radiocarbon years BP,1,0.5037783375314862,2.0,397.0,16,21,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,380.0,,6272.0,,,Radiocarbon years BP,1,0.8264462809917356,3.0,363.0,15,20,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,390.0,,6414.0,,,Radiocarbon years BP,1,0.0,0,368.0,13,18,7,pollen,Core,3PINES,7
Three Pines Bog,47.0,-80.116667,294.0,7,395.0,,6485.0,,,Radiocarbon years BP,1,0.26246719160104987,1.0,381.0,13,20,7,pollen,Core,3PINES,7
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,0.0,,-40.0,,,Radiocarbon years BP,2,11.208406304728546,64.0,571.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,10.0,,-17.0,,,Radiocarbon years BP,2,10.588235294117647,63.0,595.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,20.0,,7.0,,,Radiocarbon years BP,2,7.017543859649122,24.0,342.0,19,29,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,30.0,,30.0,,,Radiocarbon years BP,2,11.57495256166983,61.0,527.0,20,30,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,40.0,,56.0,,,Radiocarbon years BP,2,2.6217228464419478,7.0,267.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,50.0,,71.0,,,Radiocarbon years BP,2,4.178272980501393,15.0,359.0,18,28,8,pollen,Core,ABALONE,8
Abalone Rocks Marsh,33.956389,-119.976667,0.0,8,60.0,,81.0,,,Radiocarbon years BP,2,3.624733475479744,17.0,469.0,18,28,8,pollen,Core,ABALONE,8
