siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
15/1,55.091667,-75.25,0.0,64.09017713365539,621.0,30.2,22.5,29.7,29.6,42.8,63.6,86.5,98.3,105.7,83.7,68.7,42.7,-29.11,-29.48,-23.63,-13.08,-3.38,1.87,6.01,6.25,2.84,-2.04,-10.34,-22.34,-18.68,-17.84,-11.15,-2.48,5.59,12.1,16.18,14.82,9.86,3.63,-3.72,-13.43
15/2,55.833333,-75.016667,0.0,74.63330457290768,579.5,29.4,20.7,28.0,29.0,41.1,60.0,83.7,96.9,103.3,81.7,66.2,42.2,-29.15,-29.58,-23.72,-13.28,-3.5,1.68,5.84,6.15,2.9,-1.9,-10.22,-22.21,-19.07,-18.45,-11.67,-2.89,5.08,11.51,15.71,14.41,9.68,3.45,-3.71,-13.49
16/1,55.413333,-75.066667,0.0,73.11361665221162,576.5,30.2,22.5,29.7,29.6,42.8,63.6,86.5,98.3,105.7,83.7,68.7,42.7,-29.11,-29.48,-23.63,-13.08,-3.38,1.87,6.01,6.25,2.84,-2.04,-10.34,-22.34,-18.68,-17.84,-11.15,-2.48,5.59,12.1,16.18,14.82,9.86,3.63,-3.72,-13.43
17/1,55.066667,-75.7,0.0,67.8373382624769,541.0,30.4,21.7,27.8,29.9,41.0,62.7,83.3,96.1,107.8,85.0,70.1,43.1,-28.9,-29.34,-23.55,-12.94,-3.34,1.84,5.87,6.35,3.02,-1.81,-9.96,-22.1,-18.68,-17.91,-11.22,-2.4,5.69,12.15,16.16,15.0,10.11,3.81,-3.48,-13.19
17/2,55.25,-74.933333,0.0,48.433048433048434,702.0,31.0,23.4,30.5,30.3,43.5,64.5,87.5,98.4,105.7,82.1,68.2,43.4,-29.4,-29.63,-23.79,-13.28,-3.67,1.79,6.02,6.17,2.61,-2.31,-10.8,-22.77,-18.86,-17.97,-11.17,-2.64,5.34,12.14,16.11,14.67,9.66,3.28,-4.07,-13.64
17/3,55.116667,-75.95,0.0,65.64102564102564,585.0,30.4,21.7,27.8,29.9,41.0,62.7,83.3,96.1,107.8,85.0,70.1,43.1,-28.9,-29.34,-23.55,-12.94,-3.34,1.84,5.87,6.35,3.02,-1.81,-9.96,-22.1,-18.68,-17.91,-11.22,-2.4,5.69,12.15,16.16,15.0,10.11,3.81,-3.48,-13.19
Three Pines Bog,47.0,-80.116667,-26.0,1.3015184381778742,461.0,60.3,48.2,50.9,55.8,67.1,73.4,70.9,67.7,85.1,66.1,62.9,60.5,-18.16,-17.48,-11.51,-2.72,3.93,9.96,13.3,11.96,7.74,2.24,-3.73,-12.79,-6.64,-5.11,0.38,8.55,16.91,22.92,26.13,24.33,18.84,11.6,3.41,-3.49
Three Pines Bog,47.0,-80.116667,10.0,10.831234256926953,397.0,57.6,44.6,46.8,53.4,69.4,83.6,86.5,83.9,101.9,74.9,66.9,60.8,-17.69,-16.96,-11.13,-2.59,3.75,9.49,12.63,11.22,7.09,1.81,-3.83,-12.55,-6.6,-5.05,0.41,8.27,16.06,21.44,24.38,22.83,17.95,11.28,3.4,-3.45
Three Pines Bog,47.0,-80.116667,50.0,8.947368421052632,380.0,56.6,47.5,55.4,64.5,75.8,76.5,71.4,71.0,96.7,76.8,68.5,59.3,-21.19,-19.78,-12.58,-2.83,4.1,9.83,12.79,11.21,6.83,0.86,-5.89,-15.72,-9.81,-7.7,-1.07,7.96,16.55,22.26,25.19,23.36,17.95,10.39,1.43,-6.38
Three Pines Bog,47.0,-80.116667,90.0,8.908685968819599,449.0,55.4,43.0,45.3,51.4,65.6,77.1,79.0,77.5,96.5,72.3,64.9,58.6,-19.58,-19.05,-13.43,-4.68,2.38,9.04,12.64,10.98,6.1,0.16,-5.75,-14.42,-8.0,-6.54,-1.16,6.96,15.36,21.47,24.74,22.93,17.39,10.12,1.97,-4.86
Three Pines Bog,47.0,-80.116667,222.0,9.953703703703704,432.0,58.8,47.5,52.2,58.5,69.0,72.3,69.5,69.5,94.0,75.2,69.0,61.6,-20.98,-19.39,-11.98,-2.37,4.01,9.0,11.59,10.21,6.43,0.96,-5.6,-15.5,-9.47,-7.16,-0.37,8.37,16.13,20.83,23.25,21.67,17.07,10.26,1.67,-6.1
Three Pines Bog,47.0,-80.116667,447.0,6.905370843989769,391.0,55.9,48.2,59.4,69.5,76.4,69.8,62.6,65.2,98.5,83.3,73.5,60.1,-20.22,-18.87,-11.8,-2.39,4.03,9.24,12.02,10.71,6.91,1.48,-4.95,-14.71,-8.41,-6.45,-0.08,8.5,16.49,21.67,24.46,22.99,18.27,11.36,2.79,-4.92
Three Pines Bog,47.0,-80.116667,672.0,8.768267223382047,479.0,64.5,52.5,56.3,61.5,71.8,75.2,70.8,67.7,87.2,69.3,66.6,64.2,-19.08,-18.4,-12.27,-3.37,3.22,9.12,12.48,11.36,7.46,2.08,-4.06,-13.47,-7.36,-6.15,-0.76,7.32,15.53,21.46,24.92,23.74,19.0,12.14,3.81,-3.66
Three Pines Bog,47.0,-80.116667,897.0,2.030456852791878,394.0,65.9,54.8,60.4,67.5,79.6,83.0,77.2,72.7,91.9,71.8,67.9,65.1,-19.22,-18.39,-12.06,-3.08,3.44,9.15,12.36,11.22,7.39,2.03,-4.15,-13.63,-7.78,-6.39,-0.75,7.42,15.5,21.15,24.42,23.23,18.61,11.84,3.46,-4.1
Three Pines Bog,47.0,-80.116667,1122.0,3.9832285115303985,477.0,60.4,50.9,58.0,67.5,82.4,87.9,82.5,77.2,95.8,72.3,65.6,60.6,-20.67,-19.44,-12.42,-2.94,3.67,9.13,12.11,10.87,7.02,1.48,-5.1,-15.01,-8.69,-6.69,-0.21,8.39,16.26,21.25,23.97,22.59,18.07,11.29,2.7,-5.13
Three Pines Bog,47.0,-80.116667,1347.0,5.32994923857868,394.0,54.9,47.1,56.4,67.7,82.3,85.2,78.9,75.3,96.8,73.5,64.4,56.3,-19.13,-18.3,-11.99,-3.08,3.33,8.93,12.1,10.99,7.25,2.0,-4.11,-13.55,-7.48,-6.09,-0.51,7.48,15.26,20.61,23.75,22.67,18.35,11.86,3.67,-3.82
Three Pines Bog,47.0,-80.116667,1572.0,2.3706896551724137,464.0,61.1,49.4,52.4,58.4,71.9,80.3,77.7,72.1,86.9,65.6,62.0,60.4,-20.87,-19.77,-12.74,-3.14,3.65,9.34,12.52,11.45,7.67,2.04,-4.76,-14.97,-9.08,-7.3,-0.89,7.93,16.29,21.87,25.02,23.74,19.03,11.9,2.95,-5.22
Three Pines Bog,47.0,-80.116667,1797.0,4.891304347826087,368.0,67.1,53.1,53.5,57.3,70.1,79.8,77.7,71.0,83.4,63.3,62.3,64.5,-19.6,-19.09,-12.97,-3.98,2.82,8.96,12.57,11.65,7.83,2.37,-3.99,-13.72,-8.84,-7.45,-1.47,7.1,15.48,21.34,24.82,23.84,19.33,12.36,3.47,-4.74
Three Pines Bog,47.0,-80.116667,2022.0,2.450980392156863,408.0,58.9,46.9,50.4,57.8,73.6,85.1,85.1,81.0,98.3,72.8,65.7,60.6,-19.95,-19.09,-12.49,-3.3,3.22,8.81,12.04,11.12,7.59,2.3,-4.15,-14.09,-8.19,-6.63,-0.55,7.81,15.64,20.81,23.9,22.99,18.93,12.42,3.83,-4.24
Three Pines Bog,47.0,-80.116667,2247.0,2.517162471395881,437.0,58.6,46.1,49.6,55.8,68.2,75.3,75.1,75.7,100.4,78.5,70.9,62.6,-19.55,-18.57,-12.11,-3.01,3.59,9.32,12.44,11.08,6.98,1.44,-4.76,-14.13,-7.97,-6.37,-0.54,7.74,15.84,21.41,24.5,23.08,18.24,11.32,2.95,-4.48
Three Pines Bog,47.0,-80.116667,2472.0,1.095890410958904,365.0,54.1,44.2,50.5,58.5,69.5,72.1,69.4,70.7,97.9,78.0,68.8,58.2,-20.74,-19.91,-13.09,-3.65,3.07,8.8,12.19,11.44,8.01,2.6,-4.19,-14.58,-9.49,-7.86,-1.46,7.36,15.69,21.27,24.56,23.6,19.24,12.28,3.18,-5.32
Three Pines Bog,47.0,-80.116667,2697.0,6.036745406824147,381.0,56.2,45.7,50.9,59.9,77.5,89.8,89.0,83.5,99.5,72.0,63.5,57.7,-19.42,-18.84,-12.7,-3.72,3.01,9.08,12.59,11.59,7.72,2.27,-4.03,-13.64,-7.96,-6.77,-1.33,6.82,15.13,21.15,24.67,23.52,18.75,11.83,3.39,-4.18
Three Pines Bog,47.0,-80.116667,2921.0,2.1686746987951806,415.0,60.2,49.0,53.9,60.4,71.4,74.9,71.4,70.0,92.7,73.5,67.9,61.9,-19.39,-18.29,-11.52,-2.37,3.9,9.1,12.02,10.95,7.45,2.28,-4.0,-13.75,-7.48,-5.82,0.15,8.37,16.13,21.24,24.17,22.97,18.62,12.07,3.75,-3.88
Three Pines Bog,47.0,-80.116667,3146.0,0.8791208791208791,455.0,59.7,47.8,53.1,60.7,73.3,78.7,77.2,78.6,106.7,84.2,74.8,64.3,-21.11,-19.78,-12.41,-2.65,4.05,9.46,12.44,11.33,7.62,2.02,-4.88,-15.23,-9.12,-7.21,-0.79,7.97,16.22,21.67,24.64,23.18,18.33,11.21,2.41,-5.49
Three Pines Bog,47.0,-80.116667,3371.0,2.9484029484029484,407.0,52.6,40.9,43.6,49.9,63.8,74.9,77.0,76.1,95.6,71.5,63.4,56.2,-20.37,-19.97,-13.92,-4.87,2.1,8.5,12.28,11.39,7.49,1.9,-4.57,-14.39,-8.64,-7.51,-1.99,6.31,14.75,20.89,24.55,23.54,18.88,11.9,3.24,-4.64
Three Pines Bog,47.0,-80.116667,3575.0,2.0408163265306123,441.0,64.8,49.5,48.7,52.8,68.1,84.0,86.3,79.4,90.3,66.0,63.2,64.1,-20.31,-19.41,-12.74,-3.41,3.34,9.15,12.46,11.4,7.6,2.06,-4.52,-14.48,-8.84,-7.23,-1.16,7.35,15.55,21.13,24.31,23.07,18.41,11.47,2.8,-5.07
Three Pines Bog,47.0,-80.116667,3717.0,1.937046004842615,413.0,53.7,44.3,51.1,60.0,73.1,77.7,74.7,74.1,98.3,75.8,66.4,57.0,-21.27,-20.81,-14.61,-5.3,1.99,8.67,12.55,11.54,7.34,1.44,-5.29,-15.25,-9.22,-8.32,-3.11,5.11,13.8,20.38,24.33,23.31,18.4,11.24,2.59,-5.18
Three Pines Bog,47.0,-80.116667,3859.0,1.4634146341463417,410.0,65.7,51.7,51.8,56.0,70.1,82.4,81.4,73.6,84.4,62.8,61.2,63.2,-20.22,-19.62,-13.37,-4.22,2.69,8.9,12.5,11.5,7.57,1.97,-4.52,-14.33,-8.46,-7.45,-2.14,6.0,14.4,20.6,24.33,23.37,18.73,11.83,3.3,-4.47
Three Pines Bog,47.0,-80.116667,4001.0,3.2418952618453867,401.0,59.6,50.9,60.4,68.7,75.6,70.2,63.1,64.2,93.9,79.1,72.3,62.3,-20.57,-19.62,-12.89,-3.42,3.54,9.56,12.9,11.68,7.58,1.8,-4.88,-14.8,-7.72,-6.47,-1.16,7.01,15.55,21.89,25.43,23.87,18.49,11.21,2.87,-4.28
Three Pines Bog,47.0,-80.116667,4143.0,2.8089887640449436,356.0,55.2,44.1,46.9,53.8,70.0,83.7,84.0,77.5,89.4,64.3,58.5,55.6,-21.59,-20.79,-13.89,-4.13,3.08,9.33,12.98,12.14,8.32,2.47,-4.68,-15.3,-9.83,-8.42,-2.15,6.79,15.53,21.65,25.31,24.4,19.81,12.55,3.22,-5.46
Three Pines Bog,47.0,-80.116667,4285.0,1.680672268907563,357.0,51.4,40.7,44.8,53.2,70.5,84.7,87.3,84.8,103.1,74.2,63.5,55.1,-21.2,-20.64,-14.0,-4.56,2.35,8.39,12.11,11.63,8.34,2.92,-4.04,-14.72,-9.46,-8.42,-2.53,6.0,14.35,20.24,24.04,23.67,19.84,13.17,4.06,-4.77
Three Pines Bog,47.0,-80.116667,4427.0,1.9830028328611897,353.0,52.2,41.0,44.4,51.3,65.6,76.2,77.7,76.9,97.3,72.8,63.9,56.0,-20.56,-19.77,-13.46,-4.23,2.81,9.13,12.59,11.2,6.76,0.87,-5.55,-15.01,-8.86,-7.55,-2.17,6.08,14.68,21.05,24.57,22.95,17.48,10.12,1.73,-5.44
Three Pines Bog,47.0,-80.116667,4569.0,1.4218009478672986,422.0,62.3,46.8,46.6,50.8,64.4,77.5,80.7,78.9,97.1,73.5,68.6,65.0,-18.9,-19.09,-14.0,-5.48,1.69,8.78,13.06,12.2,7.99,2.36,-3.74,-12.99,-8.16,-7.58,-2.84,5.17,14.05,21.08,25.34,24.31,19.18,11.93,3.4,-4.14
Three Pines Bog,47.0,-80.116667,4711.0,1.6574585635359116,362.0,55.7,42.6,45.4,50.7,61.4,67.7,69.2,73.3,103.2,83.1,73.8,62.2,-19.4,-18.85,-12.72,-3.72,3.04,9.14,12.71,11.77,7.97,2.53,-3.82,-13.53,-8.42,-7.05,-1.22,7.23,15.58,21.46,24.9,23.81,19.17,12.19,3.46,-4.49
Three Pines Bog,47.0,-80.116667,4853.0,2.095808383233533,334.0,57.5,43.7,46.3,53.1,68.5,81.5,86.0,88.2,114.8,86.8,75.2,63.8,-19.55,-19.07,-12.98,-4.01,2.73,8.83,12.44,11.59,7.88,2.49,-3.86,-13.62,-7.97,-6.92,-1.63,6.39,14.6,20.59,24.19,23.23,18.7,11.95,3.57,-4.06
Three Pines Bog,47.0,-80.116667,4995.0,1.9830028328611897,353.0,58.5,45.1,46.1,51.3,66.0,79.6,81.6,77.3,91.6,67.5,62.5,59.8,-21.7,-21.03,-14.18,-4.5,2.65,8.87,12.61,11.97,8.42,2.72,-4.45,-15.23,-10.2,-8.9,-2.76,6.1,14.8,20.93,24.66,23.87,19.41,12.25,2.96,-5.76
Three Pines Bog,47.0,-80.116667,5137.0,0.966183574879227,414.0,50.2,41.9,49.7,60.4,75.3,80.9,78.1,77.3,101.3,76.3,64.7,53.8,-21.09,-20.8,-14.63,-5.3,2.06,8.84,12.92,12.18,8.23,2.39,-4.49,-14.77,-9.6,-8.69,-3.24,5.27,14.21,20.98,25.07,24.14,19.24,11.9,2.88,-5.31
Three Pines Bog,47.0,-80.116667,5279.0,1.0075566750629723,397.0,63.2,44.6,41.1,42.9,55.5,71.3,78.6,78.1,94.5,71.5,68.4,66.8,-19.55,-19.46,-14.02,-5.27,1.93,8.87,12.95,11.91,7.56,1.8,-4.42,-13.74,-8.12,-7.35,-2.45,5.52,14.13,20.77,24.75,23.67,18.69,11.61,3.21,-4.24
Three Pines Bog,47.0,-80.116667,5421.0,1.6548463356973995,423.0,54.8,45.0,51.7,60.2,72.3,75.7,72.8,73.1,99.0,77.7,68.4,58.5,-22.93,-21.88,-14.52,-4.35,3.12,9.42,13.01,12.03,8.01,1.85,-5.67,-16.59,-10.76,-9.01,-2.37,6.92,15.91,22.11,25.58,24.24,19.11,11.43,1.93,-6.66
Three Pines Bog,47.0,-80.116667,5492.0,2.6252983293556085,419.0,50.7,40.9,47.7,57.4,71.6,77.8,77.7,80.9,111.9,86.2,71.8,57.0,-21.03,-20.81,-14.96,-5.74,1.8,8.94,13.11,12.07,7.59,1.5,-5.2,-15.0,-9.97,-8.83,-3.37,5.2,14.32,21.26,25.19,23.71,18.09,10.37,1.49,-6.17
Three Pines Bog,47.0,-80.116667,5705.0,1.9801980198019802,404.0,60.1,44.9,44.8,48.8,61.5,73.5,77.1,76.9,96.9,74.2,68.8,63.8,-20.95,-20.18,-13.65,-4.16,3.1,9.57,13.19,11.95,7.58,1.56,-5.21,-15.12,-9.85,-8.28,-2.23,6.66,15.65,22.13,25.68,24.08,18.55,10.82,1.77,-6.11
Three Pines Bog,47.0,-80.116667,5846.0,1.932367149758454,414.0,56.0,44.2,46.6,51.4,62.2,68.7,67.6,65.7,83.5,64.9,60.9,57.3,-21.1,-20.63,-14.47,-5.08,2.42,9.35,13.31,12.15,7.65,1.51,-5.28,-15.14,-9.51,-8.73,-3.62,4.82,14.13,21.46,25.75,24.48,18.89,11.15,2.24,-5.49
Three Pines Bog,47.0,-80.116667,5988.0,0.6772009029345373,443.0,58.2,45.7,48.4,53.9,66.0,73.7,73.4,72.6,93.9,73.0,67.0,61.0,-19.91,-19.52,-13.57,-4.52,2.58,9.16,12.99,11.97,7.82,2.09,-4.36,-14.02,-7.38,-6.66,-1.94,5.94,14.62,21.42,25.45,24.25,19.06,11.89,3.6,-3.62
Three Pines Bog,47.0,-80.116667,6130.0,1.0075566750629723,397.0,53.1,42.8,46.7,54.2,69.7,81.2,80.6,75.5,89.7,65.3,58.6,54.2,-19.75,-20.04,-15.01,-6.33,1.22,8.79,13.33,12.39,7.84,1.87,-4.43,-13.76,-8.53,-8.24,-3.81,4.12,13.21,20.67,25.26,24.35,19.15,11.8,3.23,-4.34
Three Pines Bog,47.0,-80.116667,6272.0,1.6528925619834711,363.0,62.2,48.5,50.1,55.4,69.1,79.8,80.2,77.3,95.4,72.5,67.5,63.9,-20.69,-20.16,-13.88,-4.47,2.93,9.68,13.56,12.47,8.12,2.08,-4.73,-14.69,-9.1,-7.88,-2.32,6.27,15.33,22.13,25.96,24.44,18.83,11.14,2.28,-5.36
Three Pines Bog,47.0,-80.116667,6414.0,0.2717391304347826,368.0,56.7,43.2,44.8,50.6,65.5,79.1,82.9,82.3,102.4,76.2,68.0,60.9,-21.16,-20.58,-14.18,-4.6,2.98,9.88,13.8,12.63,8.12,1.89,-5.07,-15.14,-9.48,-8.38,-2.86,5.77,14.91,21.85,25.83,24.48,19.0,11.31,2.33,-5.53
