"","Species","Cores","Memory","SpatialResolution","NumOccurrences","pollenThreshold","presenceThreshold","TotalTime","fitTime","predTime","accTime","accThreshold","AUC","ommission.rate","sensitivity","specificty","prop.correct","Kappa","NumTrees","meanCVDeviance","seCVDeviance","meanCVCorrelation","seCVCorrelation","meanCVRoc","seCVRoc","trainingResidualDeviance","trainingMeanDeviance","trainingCorrelation","trainingROC","Timestamp"
"structure.c..sequoia....Inf....Inf....1....50....2.21794871795...","sequoia","Inf","Inf","1","50","2.21794871795","0.485","4.47999999999956","1.15999999999985","3.23999999999978","0.0799999999999272","0.485","0.823308270676692","0.142857142857143","0.857142857142857","0.789473684210526","0.807692307692308","0.56953642384106","1150","1.22166496320845","0.0836847358344284","0.309971828226586","0.139648935862436","0.61112","0.0884263432342296","0.915937964358473","1.36058400038431","0.712839133769181","0.9179","1463768000.22962"
"structure.c..sequoia....Inf....Inf....0.5....50....2.21794871795...","sequoia","Inf","Inf","0.5","50","2.21794871795","0.345","5.73999999999978","1.73000000000047","3.92999999999938","0.0799999999999272","0.345","0.842105263157895","0","1","0.684210526315789","0.769230769230769","0.538461538461539","2200","1.0904634693278","0.0749165278024401","0.449167433358837","0.082750303011929","0.74584","0.0521307420498372","0.748165504038408","1.32812825312822","0.775232884382988","0.9559","1463768005.96919"
"structure.c..sequoia....Inf....Inf....0.25....50....2.21794871795...","sequoia","Inf","Inf","0.25","50","2.21794871795","0.325","15.7300000000005","5.26000000000022","10.3900000000003","0.0799999999999272","0.325","0.785714285714286","0","1","0.571428571428571","0.769230769230769","0.551724137931035","6500","0.928009451103001","0.120204719194833","0.67518896956181","0.0671768003644474","0.84999","0.0524101823228188","0.322932105232377","1.34602333401851","0.942059732893004","1","1463768021.69777"
"structure.c..sequoia....Inf....Inf....0.1....50....2.21794871795...","sequoia","Inf","Inf","0.1","50","2.21794871795","0.415","24.8900000000003","1.84999999999945","22.9700000000003","0.0700000000006185","0.415","0.856209150326797","0.111111111111111","0.888888888888889","0.823529411764706","0.846153846153846","0.677018633540373","2350","1.18234652478671","0.119639697248129","0.461949720671578","0.105253698248513","0.6889","0.0750862333883145","0.678532373351258","1.36058400038431","0.829003918169248","0.9787","1463768046.59926"
"structure.c..sequoia....Inf....Inf....1....500....2.21794871795...","sequoia","Inf","Inf","1","500","2.21794871795","0.415","6.76999999999953","3.11999999999989","3.57999999999993","0.069999999999709","0.415","0.947368421052632","0","1","0.894736842105263","0.923076923076923","0.820689655172414","2050","1.01192429693163","0.0612627094253191","0.534133158197601","0.0528314535618379","0.82048","0.0287963261545635","0.570087344293654","1.35048021204508","0.867039351183448","0.9889","1463768053.36893"
"structure.c..sequoia....Inf....Inf....0.5....500....2.21794871795...","sequoia","Inf","Inf","0.5","500","2.21794871795","0.425","9.4399999999996","4.47000000000025","4.88999999999942","0.0799999999999272","0.425","0.923076923076923","0.153846153846154","0.846153846153846","1","0.923076923076923","0.846153846153846","3050","0.844496700628577","0.0948639086819641","0.641415933499122","0.0640882780289112","0.86726","0.0346857485944236","0.379888072718218","1.32551231769014","0.91896812796716","0.9947","1463768062.80487"
"structure.c..sequoia....Inf....Inf....0.25....500....2.21794871795...","sequoia","Inf","Inf","0.25","500","2.21794871795","0.53","11.9700000000003","3.82000000000062","8.09000000000015","0.0599999999994907","0.53","1","0","1","1","1","1","2650","0.909700833744468","0.0791521617919753","0.610188780330441","0.0527831129193383","0.86","0.0320227696768686","0.444242332787809","1.35048021204508","0.903023123623842","0.9945","1463768074.78107"
"structure.c..sequoia....Inf....Inf....0.1....500....2.21794871795...","sequoia","Inf","Inf","0.1","500","2.21794871795","0.45","34.7200000000003","3.46000000000004","31.1900000000005","0.069999999999709","0.45","0.922619047619048","0.0833333333333333","0.916666666666667","0.928571428571429","0.923076923076923","0.845238095238095","2400","0.999832757387767","0.11346151808304","0.55146954784252","0.08485181455084","0.83881","0.0439809591376389","0.509810001069607","1.34290382401809","0.882026714583671","0.9922","1463768109.50054"
"structure.c..sequoia....Inf....Inf....1....1000....2.21794871795...","sequoia","Inf","Inf","1","1000","2.21794871795","0.535","7.64999999999964","3.84000000000015","3.72999999999956","0.0799999999999272","0.535","0.875","0.25","0.75","1","0.923076923076923","0.805970149253731","2600","0.917741537939291","0.115758066353528","0.608375637767598","0.0788703193947915","0.86333","0.0449311276659437","0.450539851061443","1.36879935856707","0.904659725671921","0.9971","1463768117.14731"
"structure.c..sequoia....Inf....Inf....0.5....1000....2.21794871795...","sequoia","Inf","Inf","0.5","1000","2.21794871795","0.65","10.29","5.11000000000058","5.10999999999967","0.069999999999709","0.65","0.928571428571429","0.142857142857143","0.857142857142857","1","0.961538461538462","0.897637795275591","3700","0.865867647433248","0.0963220920767216","0.643250812868171","0.0558821609253739","0.85643","0.0341834074434431","0.33344751051353","1.34290382401809","0.939534861221765","0.9993","1463768127.44634"
"structure.c..sequoia....Inf....Inf....0.25....1000....2.21794871795...","sequoia","Inf","Inf","0.25","1000","2.21794871795","0.3","11.0500000000002","3.39000000000033","7.60000000000036","0.0599999999994907","0.3","0.775757575757576","0.181818181818182","0.818181818181818","0.733333333333333","0.769230769230769","0.538461538461539","2250","0.904286589468587","0.118852933675973","0.600220004242913","0.0810231188358921","0.83531","0.0405584528797635","0.493854671631001","1.30508954630757","0.880297155290864","0.9884","1463768138.49544"
"structure.c..sequoia....Inf....Inf....0.1....1000....2.21794871795...","sequoia","Inf","Inf","0.1","1000","2.21794871795","0.505","51.0500000000002","5.93000000000029","45.04","0.0799999999999272","0.505","0.891666666666667","0.166666666666667","0.833333333333333","0.95","0.923076923076923","0.783333333333334","3950","0.805859433506657","0.116352800849663","0.659583552864311","0.0730359694325098","0.86846","0.0411709530831845","0.268159967353697","1.32551231769014","0.954018228245115","1","1463768189.55055"
