,,,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
ConfigurationNumber,CPUs,GBsMem,CPURate,MemoryRate,TotalRate,At SHC,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
1,1,12,0.01002,0.12024,0.13026,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.61,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,0.340910818,1,10,26.17156591,3.409108176
13,2,12,0.02004,0.24048,0.26052,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,0.681821635,1,10,26.17156591,6.818216351
25,3,12,0.03006,0.36072,0.39078,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,1.022732453,1,10,26.17156591,10.22732453
37,4,12,0.04008,0.48096,0.52104,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,1.36364327,1,10,26.17156591,13.6364327
49,5,12,0.0501,0.6012,0.6513,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,1.704554088,1,10,26.17156591,17.04554088
61,6,12,0.06012,0.72144,0.78156,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,2.045464905,1,10,26.17156591,20.45464905
73,7,12,0.07014,0.84168,0.91182,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,2.386375723,1,10,26.17156591,23.86375723
85,8,12,0.08016,0.96192,1.04208,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,2.72728654,1,10,26.17156591,27.2728654
97,9,12,0.09018,1.08216,1.17234,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,3.068197358,1,10,26.17156591,30.68197358
