ConfigurationNumber,CPUs,GBsMem,CPURate,MemoryRate,TotalRate,At SHC,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
1,1,2,0.01002,0.02004,0.03006,TRUE,2.617156591,0.078671727,4,10,104.6862636,3.146869085
2,1,4,0.01002,0.04008,0.0501,TRUE,2.617156591,0.131119545,4,10,104.6862636,5.244781809
3,1,5,0.01002,0.0501,0.06012,TRUE,2.617156591,0.157343454,4,10,104.6862636,6.29373817
4,1,6,0.01002,0.06012,0.07014,TRUE,2.617156591,0.183567363,4,10,104.6862636,7.342694532
5,1,8,0.01002,0.08016,0.09018,FALSE,2.617156591,0.236015181,4,10,104.6862636,9.440607255
6,1,10,0.01002,0.1002,0.11022,FALSE,2.617156591,0.288462999,4,10,104.6862636,11.53851998
7,1,12,0.01002,0.12024,0.13026,FALSE,2.617156591,0.340910818,4,10,104.6862636,13.6364327
8,1,14,0.01002,0.14028,0.1503,FALSE,2.617156591,0.393358636,4,10,104.6862636,15.73434543
9,1,16,0.01002,0.16032,0.17034,FALSE,2.617156591,0.445806454,4,10,104.6862636,17.83225815
10,1,18,0.01002,0.18036,0.19038,FALSE,2.617156591,0.498254272,4,10,104.6862636,19.93017087
11,1,20,0.01002,0.2004,0.21042,FALSE,2.617156591,0.55070209,4,10,104.6862636,22.0280836
12,1,22,0.01002,0.22044,0.23046,FALSE,2.617156591,0.603149908,4,10,104.6862636,24.12599632
13,2,2,0.02004,0.04008,0.06012,TRUE,2.617156591,0.157343454,4,10,104.6862636,6.29373817
14,2,4,0.02004,0.08016,0.1002,TRUE,2.617156591,0.26223909,4,10,104.6862636,10.48956362
15,2,5,0.02004,0.1002,0.12024,TRUE,2.617156591,0.314686909,4,10,104.6862636,12.58747634
16,2,6,0.02004,0.12024,0.14028,TRUE,2.617156591,0.367134727,4,10,104.6862636,14.68538906
17,2,8,0.02004,0.16032,0.18036,FALSE,2.617156591,0.472030363,4,10,104.6862636,18.88121451
18,2,10,0.02004,0.2004,0.22044,FALSE,2.617156591,0.576925999,4,10,104.6862636,23.07703996
19,2,12,0.02004,0.24048,0.26052,FALSE,2.617156591,0.681821635,4,10,104.6862636,27.2728654
20,2,14,0.02004,0.28056,0.3006,FALSE,2.617156591,0.786717271,4,10,104.6862636,31.46869085
21,2,16,0.02004,0.32064,0.34068,FALSE,2.617156591,0.891612907,4,10,104.6862636,35.6645163
22,2,18,0.02004,0.36072,0.38076,FALSE,2.617156591,0.996508544,4,10,104.6862636,39.86034174
23,2,20,0.02004,0.4008,0.42084,FALSE,2.617156591,1.10140418,4,10,104.6862636,44.05616719
24,2,22,0.02004,0.44088,0.46092,FALSE,2.617156591,1.206299816,4,10,104.6862636,48.25199264
25,3,2,0.03006,0.06012,0.09018,TRUE,2.617156591,0.236015181,4,10,104.6862636,9.440607255
26,3,4,0.03006,0.12024,0.1503,TRUE,2.617156591,0.393358636,4,10,104.6862636,15.73434543
27,3,5,0.03006,0.1503,0.18036,TRUE,2.617156591,0.472030363,4,10,104.6862636,18.88121451
28,3,6,0.03006,0.18036,0.21042,TRUE,2.617156591,0.55070209,4,10,104.6862636,22.0280836
29,3,8,0.03006,0.24048,0.27054,FALSE,2.617156591,0.708045544,4,10,104.6862636,28.32182177
30,3,10,0.03006,0.3006,0.33066,FALSE,2.617156591,0.865388998,4,10,104.6862636,34.61555994
31,3,12,0.03006,0.36072,0.39078,FALSE,2.617156591,1.022732453,4,10,104.6862636,40.90929811
32,3,14,0.03006,0.42084,0.4509,FALSE,2.617156591,1.180075907,4,10,104.6862636,47.20303628
33,3,16,0.03006,0.48096,0.51102,FALSE,2.617156591,1.337419361,4,10,104.6862636,53.49677445
34,3,18,0.03006,0.54108,0.57114,FALSE,2.617156591,1.494762815,4,10,104.6862636,59.79051262
35,3,20,0.03006,0.6012,0.63126,FALSE,2.617156591,1.65210627,4,10,104.6862636,66.08425079
36,3,22,0.03006,0.66132,0.69138,FALSE,2.617156591,1.809449724,4,10,104.6862636,72.37798896
37,4,2,0.04008,0.08016,0.12024,TRUE,2.617156591,0.314686909,4,10,104.6862636,12.58747634
38,4,4,0.04008,0.16032,0.2004,TRUE,2.617156591,0.524478181,4,10,104.6862636,20.97912723
39,4,5,0.04008,0.2004,0.24048,TRUE,2.617156591,0.629373817,4,10,104.6862636,25.17495268
40,4,6,0.04008,0.24048,0.28056,TRUE,2.617156591,0.734269453,4,10,104.6862636,29.37077813
41,4,8,0.04008,0.32064,0.36072,FALSE,2.617156591,0.944060726,4,10,104.6862636,37.76242902
42,4,10,0.04008,0.4008,0.44088,FALSE,2.617156591,1.153851998,4,10,104.6862636,46.15407991
43,4,12,0.04008,0.48096,0.52104,FALSE,2.617156591,1.36364327,4,10,104.6862636,54.54573081
44,4,14,0.04008,0.56112,0.6012,FALSE,2.617156591,1.573434543,4,10,104.6862636,62.9373817
45,4,16,0.04008,0.64128,0.68136,FALSE,2.617156591,1.783225815,4,10,104.6862636,71.3290326
