CPU,Mem,CostPerCPU,CostPerGB,Rate,ExpectedHoursPerReplicate,CPR,Taxa,Replicates,TotalCostPerConfig,Experiment
1.00,1.00,0.01002,0.001560,0.011580,3,0.03474,1,10,0.3474,Normal
1.00,2.00,0.01002,0.001560,0.013140,3,0.03942,1,10,0.3942,Normal
1.00,3.00,0.01002,0.001560,0.014700,3,0.0441,1,10,0.441,Normal
1.00,4.00,0.01002,0.001560,0.016260,3,0.04878,1,10,0.4878,Normal
1.00,5.00,0.01002,0.001560,0.017820,3,0.05346,1,10,0.5346,Normal
1.00,6.00,0.01002,0.001560,0.019380,3,0.05814,1,10,0.5814,Normal
1.00,7.00,0.01002,0.001560,0.020940,3,0.06282,1,10,0.6282,Normal
1.00,8.00,0.01002,0.001560,0.022500,3,0.0675,1,10,0.675,Normal
1.00,10.00,0.01002,0.001560,0.025620,3,0.07686,1,10,0.7686,Normal
1.00,12.00,0.01002,0.001560,0.028740,3,0.08622,1,10,0.8622,Normal
1.00,16.00,0.01002,0.001560,0.034980,3,0.10494,1,10,1.0494,Normal
1.00,24.00,0.01002,0.001560,0.047460,3,0.14238,1,10,1.4238,Normal
2.00,1.00,0.01002,0.001560,0.021600,3,0.0648,1,10,0.648,Normal
2.00,2.00,0.01002,0.001560,0.023160,3,0.06948,1,10,0.6948,Normal
2.00,3.00,0.01002,0.001560,0.024720,3,0.07416,1,10,0.7416,Normal
2.00,4.00,0.01002,0.001560,0.026280,3,0.07884,1,10,0.7884,Normal
2.00,5.00,0.01002,0.001560,0.027840,3,0.08352,1,10,0.8352,Normal
2.00,6.00,0.01002,0.001560,0.029400,3,0.0882,1,10,0.882,Normal
2.00,7.00,0.01002,0.001560,0.030960,3,0.09288,1,10,0.9288,Normal
2.00,8.00,0.01002,0.001560,0.032520,3,0.09756,1,10,0.9756,Normal
2.00,10.00,0.01002,0.001560,0.035640,3,0.10692,1,10,1.0692,Normal
2.00,12.00,0.01002,0.001560,0.038760,3,0.11628,1,10,1.1628,Normal
2.00,16.00,0.01002,0.001560,0.045000,3,0.135,1,10,1.35,Normal
2.00,24.00,0.01002,0.001560,0.057480,3,0.17244,1,10,1.7244,Normal
3.00,1.00,0.01002,0.001560,0.031620,3,0.09486,1,10,0.9486,Normal
3.00,2.00,0.01002,0.001560,0.033180,3,0.09954,1,10,0.9954,Normal
3.00,3.00,0.01002,0.001560,0.034740,3,0.10422,1,10,1.0422,Normal
3.00,4.00,0.01002,0.001560,0.036300,3,0.1089,1,10,1.089,Normal
3.00,5.00,0.01002,0.001560,0.037860,3,0.11358,1,10,1.1358,Normal
3.00,6.00,0.01002,0.001560,0.039420,3,0.11826,1,10,1.1826,Normal
3.00,7.00,0.01002,0.001560,0.040980,3,0.12294,1,10,1.2294,Normal
3.00,8.00,0.01002,0.001560,0.042540,3,0.12762,1,10,1.2762,Normal
3.00,10.00,0.01002,0.001560,0.045660,3,0.13698,1,10,1.3698,Normal
3.00,12.00,0.01002,0.001560,0.048780,3,0.14634,1,10,1.4634,Normal
3.00,16.00,0.01002,0.001560,0.055020,3,0.16506,1,10,1.6506,Normal
3.00,24.00,0.01002,0.001560,0.067500,3,0.2025,1,10,2.025,Normal
4.00,1.00,0.01002,0.001560,0.041640,3,0.12492,1,10,1.2492,Normal
4.00,2.00,0.01002,0.001560,0.043200,3,0.1296,1,10,1.296,Normal
4.00,3.00,0.01002,0.001560,0.044760,3,0.13428,1,10,1.3428,Normal
4.00,4.00,0.01002,0.001560,0.046320,3,0.13896,1,10,1.3896,Normal
4.00,5.00,0.01002,0.001560,0.047880,3,0.14364,1,10,1.4364,Normal
4.00,6.00,0.01002,0.001560,0.049440,3,0.14832,1,10,1.4832,Normal
4.00,7.00,0.01002,0.001560,0.051000,3,0.153,1,10,1.53,Normal
4.00,8.00,0.01002,0.001560,0.052560,3,0.15768,1,10,1.5768,Normal
4.00,10.00,0.01002,0.001560,0.055680,3,0.16704,1,10,1.6704,Normal
4.00,12.00,0.01002,0.001560,0.058800,3,0.1764,1,10,1.764,Normal
4.00,16.00,0.01002,0.001560,0.065040,3,0.19512,1,10,1.9512,Normal
4.00,24.00,0.01002,0.001560,0.077520,3,0.23256,1,10,2.3256,Normal
