,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
Computer Type,vCPU,Memory (GiB),Linux/UNIX Usage,CPH,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
c4.large,2,3.75,$0.105 per Hour,$0.105,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.274801442,4,10,104.6862636,10.99205768
c4.xlarge,4,7.5,$0.209 per Hour,$0.209,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.546985728,4,10,104.6862636,21.8794291
c4.2xlarge,8,15,$0.419 per Hour,$0.419,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,1.096588612,4,10,104.6862636,43.86354447
c4.4xlarge,16,30,$0.838 per Hour,$0.838,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,2.193177223,4,10,104.6862636,87.72708893
c4.8xlarge,36,60,$1.675 per Hour,$1.675,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,4.38373729,4,10,104.6862636,175.3494916
c3.large,2,3.75,$0.105 per Hour,$0.105,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.274801442,4,10,104.6862636,10.99205768
c3.xlarge,4,7.5,$0.21 per Hour,$0.21 ,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.549602884,4,10,104.6862636,21.98411537
c3.2xlarge,8,15,$0.42 per Hour,$0.42 ,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,1.099205768,4,10,104.6862636,43.96823073
c3.4xlarge,16,30,$0.84 per Hour,$0.84 ,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,2.198411537,4,10,104.6862636,87.93646146
c3.8xlarge,32,60,$1.68 per Hour,$1.68 ,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,4.396823073,4,10,104.6862636,175.8729229
x1.32xlarge,128,1952,$13.338 per Hour,$13.33,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,34.88669736,4,10,104.6862636,1395.467894
r3.large,2,15,$0.166 per Hour,$0.166,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.434447994,4,10,104.6862636,17.37791976
r3.xlarge,4,30.5,$0.333 per Hour,$0.333,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,0.871513145,4,10,104.6862636,34.86052579
r3.2xlarge,8,61,$0.665 per Hour,$0.665,7.733888889,30.1485,80.04046512,2355.911579,0,7.61,32.71,81.37,2133.23,0,9.252894737,38.42170732,83.5896875,2057.618095,0,27.8865,73.36,141.0164516,2261.861,0,2.617156591,1.740409133,4,10,104.6862636,69.61636532
