,,,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
ConfigurationNumber,CPUs,GBsMem,CPURate,MemoryRate,TotalRate,At SHC,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
1,1,2,0.01002,0.02004,0.03006,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.020656518,1,10,6.871762314,0.206565175
2,1,4,0.01002,0.04008,0.0501,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.034427529,1,10,6.871762314,0.344275292
3,1,5,0.01002,0.0501,0.06012,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.041313035,1,10,6.871762314,0.41313035
4,1,6,0.01002,0.06012,0.07014,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.048198541,1,10,6.871762314,0.481985409
5,1,8,0.01002,0.08016,0.09018,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.061969553,1,10,6.871762314,0.619695525
6,1,10,0.01002,0.1002,0.11022,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.075740564,1,10,6.871762314,0.757405642
7,1,12,0.01002,0.12024,0.13026,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.089511576,1,10,6.871762314,0.895115759
8,1,14,0.01002,0.14028,0.1503,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.103282588,1,10,6.871762314,1.032825876
9,1,16,0.01002,0.16032,0.17034,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.117053599,1,10,6.871762314,1.170535993
