"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"17340",5,3468,21.9936196150394,0.661128205628084,0.820551595633696,1,2
"17230",5,3446,21.998236353559,1.32253396957597,0.820271829033536,2,2
"17985",5,3597,21.9991138009617,1.98388008257072,0.821801110846622,3,2
"20755",5,4151,21.992197906248,2.64434187624727,0.826151382427386,4,2
"6200",5,1240,21.999760612355,16.7532577015206,0.787588938500449,4,18
"62001",5,1240,21.999760612355,18.516758512207,0.787588938500449,4,20
"62002",5,1240,21.999760612355,20.2802593228934,0.787588938500449,4,22
"21405",5,4281,21.9925686406635,3.30548306669172,0.825287320473742,5,2
"7005",5,1401,21.9940077947758,5.50949895259133,0.795495697111214,5,4
"70051",5,1401,21.9940077947758,6.61139874310959,0.795495697111214,5,5
"70052",5,1401,21.9940077947758,7.71329853362786,0.795495697111214,5,6
"70053",5,1401,21.9940077947758,9.91709811466439,0.795495697111214,5,8
"70054",5,1401,21.9940077947758,12.1208976957009,0.795495697111214,5,10
"70055",5,1401,21.9940077947758,14.3246972767374,0.795495697111214,5,12
"70056",5,1401,21.9940077947758,16.528496857774,0.795495697111214,5,14
"70057",5,1401,21.9940077947758,18.7322964388105,0.795495697111214,5,16
"10440",5,2088,21.9891790292855,20.9314995179768,0.803288971266376,5,18
"104401",5,2088,21.9891790292855,23.1348152567113,0.803288971266376,5,20
"104402",5,2088,21.9891790292855,25.3381309954457,0.803288971266376,5,22
"21480",5,4296,21.9971073650479,3.96739828436003,0.825503828399818,6,2
"7195",5,1439,21.9927646195081,6.61102504462413,0.796441817810722,6,4
"71951",5,1439,21.9927646195081,7.93323005354896,0.796441817810722,6,5
"71952",5,1439,21.9927646195081,9.25543506247379,0.796441817810722,6,6
"71953",5,1439,21.9927646195081,11.8998450803234,0.796441817810722,6,8
"71954",5,1439,21.9927646195081,14.5442550981731,0.796441817810722,6,10
"71955",5,1439,21.9927646195081,17.1886651160228,0.796441817810722,6,12
"71956",5,1439,21.9927646195081,19.8330751338724,0.796441817810722,6,14
"71957",5,1439,21.9927646195081,22.4774851517221,0.796441817810722,6,16
"10580",5,2116,21.9948516464995,25.1242791387635,0.803661578022443,6,18
"105801",5,2116,21.9948516464995,27.7689401007386,0.803661578022443,6,20
"10460",5,2092,21.6900064187091,29.9920732755342,0.803440640960781,6,22
"21445",5,4289,21.9939756961225,4.62797236597809,0.825457009968148,7,2
"6795",5,1359,21.9944466207873,7.71345242991009,0.79469154796812,7,4
"67951",5,1359,21.9944466207873,9.25614291589211,0.79469154796812,7,5
"67952",5,1359,21.9944466207873,10.7988334018741,0.79469154796812,7,6
"67953",5,1359,21.9944466207873,13.8842143738382,0.79469154796812,7,8
"67954",5,1359,21.9944466207873,16.9695953458022,0.79469154796812,7,10
"67955",5,1359,21.9944466207873,20.0549763177662,0.79469154796812,7,12
"67956",5,1359,21.9944466207873,23.1403572897303,0.79469154796812,7,14
"67957",5,1359,21.9944466207873,26.2257382616943,0.79469154796812,7,16
"10320",5,2064,21.9993133699603,29.3176049556114,0.803182718702967,7,18
"9375",5,1875,20.3666252990024,29.9988170679126,0.79985835691861,7,20
"8020",5,1604,18.5945420687028,29.9970871560727,0.793928451369283,7,22
"21090",5,4218,21.9948999545386,5.28933354106745,0.824973146840974,8,2
"5695",5,1139,19.6957827713112,29.9974649920178,0.783750112905683,8,18
"5179",4,1036,17.8171923713078,29.9927489501647,0.77309951102298,8,20
"23005",5,4601,21.9990423724678,5.95162092344744,0.827557024529533,9,2
"8450",5,1690,21.9928458494595,9.91657419352128,0.801930815666419,9,4
"84501",5,1690,21.9928458494595,11.8998890322255,0.801930815666419,9,5
"84502",5,1690,21.9928458494595,13.8832038709298,0.801930815666419,9,6
"84503",5,1690,21.9928458494595,17.8498335483383,0.801930815666419,9,8
"84504",5,1690,21.9928458494595,21.8164632257468,0.801930815666419,9,10
"84505",5,1690,21.9928458494595,25.7830929031553,0.801930815666419,9,12
"84506",5,1690,21.9928458494595,29.7497225805638,0.801930815666419,9,14
"6980",5,1396,19.5610214100394,29.9882194828751,0.795499381152681,9,16
"8690",5,1738,17.5032739088137,29.9904595808396,0.796860828184631,9,18
"7470",5,1494,15.8372556248798,29.9922779572849,0.791521725033208,9,20
"6460",5,1292,14.4580109799837,29.9879388940233,0.787101647834079,9,22
"23430",5,4686,21.9993678107658,6.61300996391621,0.828605073704728,10,2
"8845",5,1769,21.9970057912635,11.020499901423,0.804138587254645,10,4
"88451",5,1769,21.9970057912635,13.2245998817076,0.804138587254645,10,5
"88452",5,1769,21.9970057912635,15.4286998619922,0.804138587254645,10,6
"88453",5,1769,21.9970057912635,19.8368998225614,0.804138587254645,10,8
"88454",5,1769,21.9970057912635,24.2450997831306,0.804138587254645,10,10
"88455",5,1769,21.9970057912635,28.6532997436998,0.804138587254645,10,12
"7615",5,1523,19.9524357900597,29.9885109924598,0.798756606474041,10,14
"6205",5,1241,17.6086604228262,29.9945921642421,0.792587018749935,10,16
"7715",5,1543,15.7540056854247,29.9924760239115,0.796573807617352,10,18
"6625",5,1325,14.2521440144102,29.989361435122,0.791803114507525,10,20
"5725",5,1145,13.0120747447653,29.9876274567861,0.787864010104916,10,22
"23565",5,4713,21.9986968343921,7.2740890952601,0.828294303059997,11,2
"9005",5,1801,21.9982496461855,12.1232353800129,0.804350838786631,11,4
