"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory","TotalRate","config"
"15995",5,3199,19.9934978859549,0.00166945707347723,0.817728924366425,1,2,8.35e-05,1
"15985",5,3197,19.9952388567601,0.00333920488907893,0.817660136278727,2,2,0.000167,13
"18400",5,3680,19.9970309809155,0.00500925626071932,0.822804190674432,3,2,0.0002505,25
"23910",5,4782,19.9971892977344,0.00667906122544327,0.830781792373947,4,2,0.000334,37
"5700",5,1140,19.9941725970744,0.0422943331022871,0.791307686684169,4,18,0.002115333,46
"57001",5,1140,19.9941725970744,0.0467463755319599,0.791307686684169,4,20,0.002338,47
"57002",5,1140,19.9941725970744,0.0511984179616326,0.791307686684169,4,22,0.002560667,48
"25795",5,5159,19.9987798507904,0.00834949058770497,0.831846298535148,5,2,0.0004175,49
"5194",4,1039,19.9914916506451,0.0139107396097433,0.779559138042603,5,4,0.000695833,50
"51941",4,1039,19.9914916506451,0.0166928955282886,0.779559138042603,5,5,0.000835,51
"51942",4,1039,19.9914916506451,0.0194750514468339,0.779559138042603,5,6,0.000974167,52
"51943",4,1039,19.9914916506451,0.0250393432924329,0.779559138042603,5,8,0.0012525,53
"51944",4,1039,19.9914916506451,0.0306036351380319,0.779559138042603,5,10,0.001530833,54
"51945",4,1039,19.9914916506451,0.0361679469751226,0.779559138042603,5,12,0.001809167,55
"51946",4,1039,19.9914916506451,0.0417322388207216,0.779559138042603,5,14,0.0020875,56
"51947",4,1039,19.9914916506451,0.0472965306663205,0.779559138042603,5,16,0.002365833,57
"6900",5,1380,19.995343995863,0.0528710287475091,0.795085409130982,5,18,0.002644167,58
"69001",5,1380,19.995343995863,0.0584363928279097,0.795085409130982,5,20,0.0029225,59
"69002",5,1380,19.995343995863,0.0640017569083102,0.795085409130982,5,22,0.003200833,60
"26195",5,5239,19.9981248435415,0.0100190605466143,0.832119807192831,6,2,0.000501,61
"5245",5,1049,19.9918332382312,0.0166931807539231,0.787973855717734,6,4,0.000835,62
"52451",5,1049,19.9918332382312,0.0200318169047077,0.787973855717734,6,5,0.001002,63
"52452",5,1049,19.9918332382312,0.0233704530554923,0.787973855717734,6,6,0.001169,64
"52453",5,1049,19.9918332382312,0.0300477253570615,0.787973855717734,6,8,0.001503,65
"52454",5,1049,19.9918332382312,0.0367249976586308,0.787973855717734,6,10,0.001837,66
"52455",5,1049,19.9918332382312,0.0434022699602,0.787973855717734,6,12,0.002171,67
"52456",5,1049,19.9918332382312,0.0500795422617692,0.787973855717734,6,14,0.002505,68
"52457",5,1049,19.9918332382312,0.0567568145633385,0.787973855717734,6,16,0.002839,69
"7540",5,1508,19.9993591846835,0.0634579666930007,0.797641556737988,6,18,0.003173,70
"75401",5,1508,19.9993591846835,0.070137752660685,0.797641556737988,6,20,0.003507,71
"75402",5,1508,19.9993591846835,0.0768175386283693,0.797641556737988,6,22,0.003841,72
"26035",5,5207,19.9893894178019,0.0116837981147052,0.831998288260813,7,2,0.0005845,73
"5110",5,1022,19.9949873067723,0.0194784567996764,0.787427785746286,7,4,0.000974167,74
"51101",5,1022,19.9949873067723,0.0233741401616168,0.787427785746286,7,5,0.001169,75
"51102",5,1022,19.9949873067723,0.0272698235235571,0.787427785746286,7,6,0.001363833,76
"51103",5,1022,19.9949873067723,0.0350612102424252,0.787427785746286,7,8,0.0017535,77
"51104",5,1022,19.9949873067723,0.0428525969612932,0.787427785746286,7,10,0.002143167,78
"51105",5,1022,19.9949873067723,0.0506439636851739,0.787427785746286,7,12,0.002532833,79
"51106",5,1022,19.9949873067723,0.0584353504040419,0.787427785746286,7,14,0.0029225,80
"51107",5,1022,19.9949873067723,0.06622673712291,0.787427785746286,7,16,0.003312167,81
"7370",5,1474,19.9920837362343,0.0740073553135553,0.79695375608598,7,18,0.003701833,82
"73701",5,1474,19.9920837362343,0.0817976106068025,0.79695375608598,7,20,0.0040915,83
"73702",5,1474,19.9920837362343,0.0895878659000498,0.79695375608598,7,22,0.004481167,84
"24355",5,4871,19.9974178333437,0.0133582751126736,0.830279045105298,8,2,0.000668,85
"5870",5,1174,19.9909035526401,0.0845748559603373,0.790891511694909,8,18,0.004230667,94
"58701",5,1174,19.9909035526401,0.0934774650121452,0.790891511694909,8,20,0.004676,95
"58702",5,1174,19.9909035526401,0.102380074063953,0.790891511694909,8,22,0.005121333,96
"27560",5,5512,19.9983336126501,0.0150287477099066,0.833155846282176,9,2,0.0007515,97
"6520",5,1304,19.9963604280831,0.0250454414361741,0.793121902340389,9,4,0.0012525,98
"65201",5,1304,19.9963604280831,0.0300545297234089,0.793121902340389,9,5,0.001503,99
"65202",5,1304,19.9963604280831,0.0350636180106438,0.793121902340389,9,6,0.0017535,100
"65203",5,1304,19.9963604280831,0.0450817945851134,0.793121902340389,9,8,0.0022545,101
"65204",5,1304,19.9963604280831,0.055099971159583,0.793121902340389,9,10,0.0027555,102
"65205",5,1304,19.9963604280831,0.0651181477340527,0.793121902340389,9,12,0.0032565,103
"65206",5,1304,19.9963604280831,0.0751363243085223,0.793121902340389,9,14,0.0037575,104
"65207",5,1304,19.9963604280831,0.085154500882992,0.793121902340389,9,16,0.0042585,105
"8940",5,1788,19.996492375425,0.0951733054608354,0.803297533292588,9,18,0.0047595,106
"89401",5,1788,19.996492375425,0.105191548140923,0.803297533292588,9,20,0.0052605,107
"89402",5,1788,19.996492375425,0.115209790821011,0.803297533292588,9,22,0.0057615,108
"27685",5,5537,19.9944796405486,0.0166953904998581,0.833303254134718,10,2,0.000835,109
"6775",5,1355,19.9959897995068,0.0278277591363102,0.794204287770836,10,4,0.001391667,110
"67751",5,1355,19.9959897995068,0.0333933029651763,0.794204287770836,10,5,0.00167,111
"67752",5,1355,19.9959897995068,0.0389588467940425,0.794204287770836,10,6,0.001948333,112
"67753",5,1355,19.9959897995068,0.0500899544477645,0.794204287770836,10,8,0.002505,113
"67754",5,1355,19.9959897995068,0.0612210621014866,0.794204287770836,10,10,0.003061667,114
"67755",5,1355,19.9959897995068,0.0723521497592188,0.794204287770836,10,12,0.003618333,115
"67756",5,1355,19.9959897995068,0.0834832574129409,0.794204287770836,10,14,0.004175,116
"67757",5,1355,19.9959897995068,0.0946143650666629,0.794204287770836,10,16,0.004731667,117
"9240",5,1848,19.9981539738289,0.10575689759888,0.804561852702051,10,18,0.005288333,118
"92401",5,1848,19.9981539738289,0.11688920997703,0.804561852702051,10,20,0.005845,119
"92402",5,1848,19.9981539738289,0.128021522355179,0.804561852702051,10,22,0.006401667,120
"27755",5,5551,19.9953939881092,0.0183657693780783,0.833355848913802,11,2,0.0009185,121
"6855",5,1371,19.9972117106902,0.030612391594711,0.794526892999926,11,4,0.001530833,122
"68551",5,1371,19.9972117106902,0.0367348779125379,0.794526892999926,11,5,0.001837,123
"68552",5,1371,19.9972117106902,0.0428573642303648,0.794526892999926,11,6,0.002143167,124
"68553",5,1371,19.9972117106902,0.0551023168688069,0.794526892999926,11,8,0.0027555,125
"68554",5,1371,19.9972117106902,0.067347269507249,0.794526892999926,11,10,0.003367833,126
"68555",5,1371,19.9972117106902,0.0795922421429027,0.794526892999926,11,12,0.003980167,127
"68556",5,1371,19.9972117106902,0.0918371947813448,0.794526892999926,11,14,0.0045925,128
