"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"1",12.108,2.611,7.356,2.11,0.787661746971046,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"2",11.403,2.295,6.935,2.14700000000001,0.785516671355451,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"3",11.423,2.25,6.959,2.186,0.794610995503853,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"4",10.895,1.91999999999999,6.899,2.041,0.795457334516188,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"5",10.695,1.916,6.724,2.02799999999999,0.791595034437811,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"6",10.948,1.89400000000001,6.931,2.096,0.799223691360387,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"7",10.707,1.82599999999999,6.8,2.047,0.80653995783617,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"8",10.803,1.90900000000001,6.821,2.039,0.788743904906754,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"9",11.078,1.878,6.976,2.19,0.798920728600905,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"10",10.821,1.96599999999999,6.809,2.01599999999999,0.772972566417934,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"11",11.055,2.095,6.94899999999998,1.98400000000001,0.783454942893054,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"12",10.942,1.97500000000002,6.85399999999998,2.08000000000001,0.786770706908632,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"13",10.925,1.983,6.88300000000001,2.03199999999998,0.791283020980299,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"14",11.134,2.07599999999999,6.965,2.066,0.799494930006832,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"15",10.929,1.846,6.99800000000002,2.05799999999999,0.794076420159456,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"16",11.144,2.00300000000001,6.845,2.26900000000001,0.790104826595258,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"17",12.463,2.587,7.579,2.231,0.800760766212641,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"18",12.082,2.208,7.656,2.193,0.785338277619693,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"19",12.108,2.05,7.879,2.152,0.781575618803267,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"20",11.911,1.89,7.81400000000001,2.17699999999999,0.783567358212727,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"21",11.812,1.851,7.77600000000001,2.155,0.788577564966827,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"22",12.156,2.06,7.90300000000001,2.15599999999999,0.779416483347998,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"23",15.326,4.44,8.667,2.19399999999999,0.792385017444917,2000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"24",14.373,3.449,8.68300000000001,2.21599999999999,0.785452932157979,2000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"25",12.363,2.627,7.469,2.183,0.789681146824004,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"26",11.992,2.287,7.583,2.095,0.791880831503331,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"27",11.774,1.86,7.834,2.04799999999999,0.780298581963003,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"28",11.815,1.881,7.794,2.11,0.793172661906845,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"29",12.036,1.994,7.916,2.098,0.789551420600899,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"30",11.854,1.976,7.714,2.13800000000001,0.793026178539173,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"31",43.848,23.394,18.314,2.11499999999998,0.790206300210453,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"32",41.914,21.758,18.025,2.10300000000001,0.787877491034841,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"33",49.364,27.046,20.234,2.06,0.793377619924581,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"34",42.041,21.601,18.315,2.101,0.794858202737215,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"35",44.886,23.662,19.08,2.11500000000001,0.782551805018836,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"36",44.792,23.876,18.808,2.08000000000004,0.7943011989693,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"37",74.703,43.855,28.778,2.04500000000002,0.781134868175738,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"38",71.856,41.114,28.585,2.13300000000004,0.803386350472198,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"39",74.037,42.758,29.077,2.178,0.77973559052838,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"40",71.664,41.241,28.3290000000001,2.06599999999992,0.798319716242812,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"41",85.854,50.7909999999999,32.889,2.14499999999998,0.802612292520477,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"42",73.8299999999999,42.13,29.2479999999999,2.428,0.787461753692691,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"43",111.56,68.784,40.6529999999999,2.09700000000009,0.77921804386944,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"44",101.324,59.39,39.7410000000001,2.16599999999994,0.798166636839788,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"45",114.387,67.5920000000001,44.529,2.23899999999981,0.799208862035016,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"46",101.708,60.8589999999999,38.6970000000001,2.12699999999995,0.795096153778687,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"47",100.717,59.7190000000001,38.652,2.3119999999999,0.790561784425802,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"48",111.615,67.5130000000001,41.5329999999999,2.52700000000004,0.796697377124973,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"49",105.275,94.636,8.51700000000005,2.0619999999999,0.864930384926055,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"50",107.634,96.7930000000001,8.67099999999982,2.12300000000005,0.867354092987971,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"51",91.518,80.8979999999999,8.46600000000012,2.10699999999997,0.864897104494993,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"52",105.222,94.529,8.54499999999985,2.10100000000011,0.858866949520125,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"53",103.238,92.2739999999999,8.75099999999998,2.16499999999996,0.864581133081473,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"54",116.926,105.937,8.80400000000009,2.13299999999981,0.863201670490126,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
