"","numPredictors","trainingExamples","cells","config","TotalRate","cores","GBMemory","accuracy","seconds","cost"
"1",1,0,1e+05,1,0.03006,1,2,0.541968419647301,2.31330101756633,0.0695378285880437
"2",2,0,1e+05,1,0.03006,1,2,0.606583084115937,2.317561551577,0.0696659002404045
"3",3,0,1e+05,1,0.03006,1,2,0.707652626084467,2.24655630471241,0.067531482519655
"4",4,0,1e+05,1,0.03006,1,2,0.775232558991063,2.20569252787243,0.0663031173878454
"5",5,0,1e+05,1,0.03006,1,2,0.78449672600641,2.2676007506887,0.0681640785657024
"6",1,1000,1e+05,1,0.03006,1,2,0.541968419647301,2.31330101756633,0.0695378285880437
"7",2,1000,1e+05,1,0.03006,1,2,0.606583084115937,2.317561551577,0.0696659002404045
"8",3,1000,1e+05,1,0.03006,1,2,0.707652626084467,2.24655630471241,0.067531482519655
"9",4,1000,1e+05,1,0.03006,1,2,0.775232558991063,2.20569252787243,0.0663031173878454
"10",5,1000,1e+05,1,0.03006,1,2,0.78449672600641,2.2676007506887,0.0681640785657024
"11",1,2000,1e+05,1,0.03006,1,2,0.558006330067748,2.99209038405383,0.089942236944658
"12",2,2000,1e+05,1,0.03006,1,2,0.625999846093721,2.99502420289914,0.090030427539148
"13",3,2000,1e+05,1,0.03006,1,2,0.729884246692727,2.92538834663315,0.0879371736997925
"14",4,2000,1e+05,1,0.03006,1,2,0.794528656296895,2.88397879477303,0.0866924025708772
"15",5,2000,1e+05,1,0.03006,1,2,0.802983103872501,2.94805983512622,0.0886186786438942
"16",1,3000,1e+05,1,0.03006,1,2,0.571023330598611,3.21235677310329,0.0965634445994849
"17",2,3000,1e+05,1,0.03006,1,2,0.639133725127943,3.20493657970627,0.0963403935859704
"18",3,3000,1e+05,1,0.03006,1,2,0.74302532078303,3.13446944405207,0.0942221514882054
"19",4,3000,1e+05,1,0.03006,1,2,0.807551618594413,3.09832477627351,0.0931356427747818
"20",5,3000,1e+05,1,0.03006,1,2,0.816004009148915,3.17387967932246,0.0954068231604331
"21",1,4000,1e+05,1,0.03006,1,2,0.581104041539168,3.60068732217533,0.10823666090459
"22",2,4000,1e+05,1,0.03006,1,2,0.649146344353743,3.59432263797534,0.108045338497539
"23",3,4000,1e+05,1,0.03006,1,2,0.753021686806196,3.52586011546056,0.105987355070744
"24",4,4000,1e+05,1,0.03006,1,2,0.817330252166746,3.49187412255424,0.10496573612398
"25",5,4000,1e+05,1,0.03006,1,2,0.825786892611329,3.570073474912,0.107316408655855
"26",1,5000,1e+05,1,0.03006,1,2,0.588294777730197,3.90215839667383,0.117298881404015
"27",2,5000,1e+05,1,0.03006,1,2,0.656332755648674,3.90085345489208,0.117259654854056
"28",3,5000,1e+05,1,0.03006,1,2,0.760177752639508,3.83121885297103,0.115166438720309
"29",4,5000,1e+05,1,0.03006,1,2,0.823415029086897,3.79694233440023,0.114136086572071
"30",5,5000,1e+05,1,0.03006,1,2,0.831576510167783,3.87751343207125,0.116558053768062
"31",1,6000,1e+05,1,0.03006,1,2,0.597051853034092,4.3474876577855,0.130685478993032
