"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"bio1",1,0.650061814391144,0.869096507541779,-0.802532156434019,0.929815066310792,0.962936056244666,-0.636526592047003,0.781242238525567,0.937945131992958,0.955047987800898,0.987388548340141,0.606946933672876,0.634089090538165,0.400033210497776,-0.108309435332335,0.622521899549836,0.429464253110308,0.595273389952399,0.448195616795167
"bio2",0.650061814391144,1,0.594959341003293,-0.392117445985269,0.770802273899614,0.516224685839065,-0.0726063634147044,0.543050082199784,0.635988537700063,0.683455287285057,0.612104355037619,0.100774934253284,0.138335840623133,0.0267200975779618,-0.0321017246528796,0.137369985972154,0.042909842977359,0.166336748465042,0.0547707832677113
"bio3",0.869096507541779,0.594959341003293,1,-0.907791481595711,0.708646994804505,0.913002230679469,-0.774119998266548,0.59918460322216,0.869578959651066,0.729058552537465,0.914488240865841,0.563343471392167,0.66178693783466,0.235408480758216,0.0550833399170064,0.632503610105972,0.27480012991039,0.530209014326568,0.396624371486874
"bio4",-0.802532156434019,-0.392117445985269,-0.907791481595711,1,-0.548148804043645,-0.918705886279926,0.9416395875892,-0.407910777875097,-0.864992651387654,-0.593938889034087,-0.886165572952421,-0.653694695344941,-0.690950464066821,-0.410081781096776,0.0971286480906022,-0.673294438656202,-0.442152952476845,-0.541698626081735,-0.543093130994678
"bio5",0.929815066310792,0.770802273899614,0.708646994804505,-0.548148804043645,1,0.809387830377223,-0.319544541476997,0.820999227870808,0.827830499690514,0.987543606727406,0.867355691704996,0.420753123523493,0.439643944614196,0.277758569786628,-0.0903990727207011,0.433288222387301,0.299753216652794,0.452599536440196,0.286749488755154
"bio6",0.962936056244666,0.516224685839065,0.913002230679469,-0.918705886279926,0.809387830377223,1,-0.815119900330223,0.65804187136215,0.946588950646842,0.853424367098619,0.989677144938315,0.65911562464885,0.689568406048555,0.426093169160707,-0.0948745366349713,0.673224858141907,0.45812796612156,0.5896082098928,0.519228453103563
"bio7",-0.636526592047003,-0.0726063634147044,-0.774119998266548,0.9416395875892,-0.319544541476997,-0.815119900330223,1,-0.251914643260225,-0.710748825156382,-0.402884868352541,-0.741283942339593,-0.648453121204087,-0.678954825992503,-0.413520837875576,0.063910315628698,-0.658853739767195,-0.443513496480359,-0.504888894696395,-0.554926514187514
"bio8",0.781242238525567,0.543050082199784,0.59918460322216,-0.407910777875097,0.820999227870808,0.65804187136215,-0.251914643260225,1,0.570887568415761,0.849589449836771,0.711263211460117,0.347436215524969,0.423268221266545,0.149815883260351,0.0696433110626162,0.411108731275637,0.171790212962216,0.548264456279899,0.0852077165192966
"bio9",0.937945131992958,0.635988537700063,0.869578959651066,-0.864992651387654,0.827830499690514,0.946588950646842,-0.710748825156382,0.570887568415761,1,0.842601516984016,0.95774593236182,0.617714771554595,0.619657345914674,0.447171452356862,-0.177698050955934,0.610575039072023,0.473058005634386,0.511072451491279,0.547383752225446
"bio10",0.955047987800898,0.683455287285057,0.729058552537465,-0.593938889034087,0.987543606727406,0.853424367098619,-0.402884868352541,0.849589449836771,0.842601516984016,1,0.898324857172719,0.487228745503903,0.504679221908772,0.330324495478589,-0.0891835343639104,0.496922421437162,0.354597632179219,0.520366078621155,0.332299001137395
