config,cores,GBMemory,seconds,cost,distance.mean,distance.sd,cluster,meanDistance,sdDistance,Accuracy,Method
13,2,2,5.316555,0.3196313,5.346085,0.4664236,2,5.418667,0.4827951,0.677027167,GAM
25,3,2,5.316555,0.479447,5.358105,0.4674723,2,5.418667,0.4827951,0.677027167,GAM
37,4,2,5.316555,0.6392626,5.374887,0.4689365,2,5.418667,0.4827951,0.677027167,GAM
14,2,4,5.390297,0.5401078,5.439575,0.4945186,2,5.418667,0.4827951,0.677027167,GAM
26,3,4,5.390297,0.8101617,5.473265,0.4975814,2,5.418667,0.4827951,0.677027167,GAM
38,4,4,5.390297,1.0802156,5.520085,0.5018379,2,5.418667,0.4827951,0.677027167,GAM
98,9,4,283.5146,127.8367,315.2143,49.60506,1,361.3387,57.46215,0.795575613,GBM-BRT
74,7,4,297.5744,104.3593,319.6875,50.67941,1,361.3387,57.46215,0.795575613,GBM-BRT
110,10,4,283.5146,142.0408,321.3999,50.5785,1,361.3387,57.46215,0.795575613,GBM-BRT
86,8,4,297.5744,119.2678,325.0023,51.52197,1,361.3387,57.46215,0.795575613,GBM-BRT
99,9,5,283.8952,153.61,327.1369,51.35912,1,361.3387,57.46215,0.795575613,GBM-BRT
75,7,5,297.9738,125.3993,327.7135,51.81712,1,361.3387,57.46215,0.795575613,GBM-BRT
87,8,5,297.9738,143.3135,335.1756,52.99701,1,361.3387,57.46215,0.795575613,GBM-BRT
111,10,5,283.8952,170.6778,335.7134,52.70561,1,361.3387,57.46215,0.795575613,GBM-BRT
76,7,6,297.9738,146.2992,336.4984,53.20618,1,361.3387,57.46215,0.795575613,GBM-BRT
100,9,6,283.8952,179.2117,340.2505,53.41791,1,361.3387,57.46215,0.795575613,GBM-BRT
122,11,4,293.9441,161.9926,340.2748,54.12618,1,361.3387,57.46215,0.795575613,GBM-BRT
88,8,6,297.9738,167.1991,346.3582,54.76517,1,361.3387,57.46215,0.795575613,GBM-BRT
134,12,4,293.9441,176.7192,347.7272,55.3116,1,361.3387,57.46215,0.795575613,GBM-BRT
112,10,6,283.8952,199.1241,351.4375,55.17422,1,361.3387,57.46215,0.795575613,GBM-BRT
123,11,5,294.3387,194.652,357.7446,56.78069,1,361.3387,57.46215,0.795575613,GBM-BRT
146,13,4,296.5356,193.1336,359.272,60.19169,1,361.3387,57.46215,0.795575613,GBM-BRT
77,7,8,306.3212,193.3683,366.399,53.13996,1,361.3387,57.46215,0.795575613,GBM-BRT
158,14,4,296.5356,207.99,367.7207,61.60716,1,361.3387,57.46215,0.795575613,GBM-BRT
135,12,5,294.3387,212.3477,367.9446,58.39962,1,361.3387,57.46215,0.795575613,GBM-BRT
170,15,4,296.5356,222.8465,376.5841,63.09211,1,361.3387,57.46215,0.795575613,GBM-BRT
124,11,6,294.3387,227.0941,376.8863,59.81883,1,361.3387,57.46215,0.795575613,GBM-BRT
101,9,8,291.8482,236.8698,380.116,54.78765,1,361.3387,57.46215,0.795575613,GBM-BRT
89,8,8,306.3212,220.9924,382.045,55.40913,1,361.3387,57.46215,0.795575613,GBM-BRT
147,13,5,296.9336,232.0714,382.5756,63.95929,1,361.3387,57.46215,0.795575613,GBM-BRT
182,16,4,296.5356,237.7029,385.8337,64.64177,1,361.3387,57.46215,0.795575613,GBM-BRT
136,12,6,294.3387,247.739,390.0234,61.90394,1,361.3387,57.46215,0.795575613,GBM-BRT
159,14,5,296.9336,249.9231,393.994,65.86822,1,361.3387,57.46215,0.795575613,GBM-BRT
194,17,4,296.5356,252.5593,395.4424,66.25159,1,361.3387,57.46215,0.795575613,GBM-BRT
113,10,8,291.8482,263.1887,397.4264,57.28267,1,361.3387,57.46215,0.795575613,GBM-BRT
78,7,10,312.0659,240.7713,399.4112,62.33282,1,361.3387,57.46215,0.795575613,GBM-BRT
171,15,5,296.9336,267.7747,405.9005,67.85877,1,361.3387,57.46215,0.795575613,GBM-BRT
148,13,6,296.9336,270.75,407.9295,68.19796,1,361.3387,57.46215,0.795575613,GBM-BRT
109,10,2,4.364108,1.3118508,4.704726,1.254452,1,5.749264,1.580536,0.787992506,RF
133,12,2,4.283221,1.5450437,4.714271,1.306596,1,5.749264,1.580536,0.787992506,RF
121,11,2,4.380691,1.4485193,4.771242,1.300083,1,5.749264,1.580536,0.787992506,RF
145,13,2,4.315452,1.6863923,4.802765,1.36544,1,5.749264,1.580536,0.787992506,RF
157,14,2,4.321265,1.8185611,4.859221,1.390551,1,5.749264,1.580536,0.787992506,RF
169,15,2,4.414612,1.9905484,5.054726,1.616147,1,5.749264,1.580536,0.787992506,RF
97,9,2,4.721697,1.2774078,5.080694,1.482107,1,5.749264,1.580536,0.787992506,RF
73,7,2,5.156676,1.0850678,5.443856,1.446679,1,5.749264,1.580536,0.787992506,RF
61,6,2,5.206205,0.938991,5.453726,1.384579,1,5.749264,1.580536,0.787992506,RF
49,5,2,5.479416,0.8235562,5.732894,1.539475,1,5.749264,1.580536,0.787992506,RF
37,4,2,6.523769,0.784418,6.73437,1.53363,1,5.749264,1.580536,0.787992506,RF
193,17,2,6.153072,3.144343,7.334173,2.532344,1,5.749264,1.580536,0.787992506,RF
181,16,2,6.848296,3.2937565,7.836212,2.038612,1,5.749264,1.580536,0.787992506,RF
